candidate,o,o_path,sub,sub_bearer,sub_bearer_label,sub_classification,sub_label,super,super_bearer,super_bearer_label,super_classification,super_label
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0000017,http://purl.obolibrary.org/obo/WBbt_0007833,'organism',Other,'aldicarb resistant',http://purl.obolibrary.org/obo/WBPhenotype_0001289,http://purl.obolibrary.org/obo/GO_0042493,'response to drug',Occurent,'acetylcholinesterase inhibitor resistant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0000983,http://purl.obolibrary.org/obo/GO_0009566,'fertilization',Occurent,'fertilization defective',http://purl.obolibrary.org/obo/WBPhenotype_0000613,http://purl.obolibrary.org/obo/WBbt_0005747,'reproductive system',Other,'reproductive system physiology variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0001752,http://purl.obolibrary.org/obo/GO_0016192,'vesicle-mediated transport',Occurent,'vesicle trafficking variant',http://purl.obolibrary.org/obo/WBPhenotype_0000536,http://purl.obolibrary.org/obo/CL_0000000,'cell',Continuant,'cell physiology variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0000385,http://purl.obolibrary.org/obo/WBbt_0006798,'sperm',Continuant,'sperm excess',http://purl.obolibrary.org/obo/WBPhenotype_0000670,http://purl.obolibrary.org/obo/GO_0007283,'spermatogenesis',Occurent,'spermatogenesis variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0001740,http://purl.obolibrary.org/obo/GO_0010260,'animal organ senescence',Occurent,'organ senescence variant',http://purl.obolibrary.org/obo/WBPhenotype_0000534,http://purl.obolibrary.org/obo/WBbt_0005746,'Organ system',Other,'organ system morphology variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0001880,http://purl.obolibrary.org/obo/GO_0005783,'endoplasmic reticulum',Continuant,'endoplasmic reticulum morphology variant',http://purl.obolibrary.org/obo/WBPhenotype_0002089,http://purl.obolibrary.org/obo/GO_0005575,'cellular_component',Other,'cell component morphology variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0000170,http://purl.obolibrary.org/obo/WBbt_0007832,'cuticular ala',Other,'precocious alae',http://purl.obolibrary.org/obo/WBPhenotype_0000439,http://purl.obolibrary.org/obo/GO_0040034,"'regulation of development, heterochronic'",Occurent,'precocious heterochronic variations'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0001657,http://purl.obolibrary.org/obo/GO_0030054,'cell junction',Other,'cell junction variant',http://purl.obolibrary.org/obo/WBPhenotype_0001399,http://purl.obolibrary.org/obo/GO_0005886,'plasma membrane',Continuant,'cell membrane morphology variant'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0001492,http://purl.obolibrary.org/obo/WBbt_0005741,'tail',Other,'no back end',http://purl.obolibrary.org/obo/WBPhenotype_0000081,http://purl.obolibrary.org/obo/GO_0002164,'larval development',Occurent,'L1 arrest'
TRUE,obo20190313_merged_wbphenotype.owl,/data/tmp_pato/ontologies/obo20190313_merged_wbphenotype.owl,http://purl.obolibrary.org/obo/WBPhenotype_0000035,http://purl.obolibrary.org/obo/WBbt_0007833,'organism',Other,'larval body morphology variant',http://purl.obolibrary.org/obo/WBPhenotype_0000934,http://purl.obolibrary.org/obo/GO_0032502,'developmental process',Occurent,'developmental morphology variant'
