defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/PLANP_0000472	abnormal morphology of anatomical surface 	http://purl.obolibrary.org/obo/BSPO_0000005	anatomical surface
http://purl.obolibrary.org/obo/PLANP_0000474	abnormal morphology of anterior surface 	http://purl.obolibrary.org/obo/BSPO_0000371	anterior surface
http://purl.obolibrary.org/obo/PLANP_0000475	abnormal morphology of apical epidermis surface 	http://purl.obolibrary.org/obo/PLANA_0000409	apical surface of the epidermal compartment
http://purl.obolibrary.org/obo/PLANP_0000478	abnormal morphology of apical surface 	http://purl.obolibrary.org/obo/BSPO_0000373	apical surface
http://purl.obolibrary.org/obo/PLANP_0000470	abnormal morphology of basal epidermis surface 	http://purl.obolibrary.org/obo/PLANA_0000410	basal surface of the epidermal compartment
http://purl.obolibrary.org/obo/PLANP_0000476	abnormal morphology of basal surface 	http://purl.obolibrary.org/obo/BSPO_0000374	basal surface
http://purl.obolibrary.org/obo/PLANP_0000483	abnormal morphology of dorsal surface 	http://purl.obolibrary.org/obo/BSPO_0000379	dorsal surface
http://purl.obolibrary.org/obo/PLANP_0000481	abnormal morphology of embryonic gut cell surface 	http://purl.obolibrary.org/obo/PLANA_0004514	embryonic gut cell surface
http://purl.obolibrary.org/obo/PLANP_0000497	abnormal morphology of head 	http://purl.obolibrary.org/obo/PLANA_0000418	head
http://purl.obolibrary.org/obo/PLANP_0000479	abnormal morphology of lateral surface 	http://purl.obolibrary.org/obo/BSPO_0000382	lateral surface
http://purl.obolibrary.org/obo/PLANP_0000469	abnormal morphology of lumen gut surface 	http://purl.obolibrary.org/obo/PLANA_0000411	lumen gut surface
http://purl.obolibrary.org/obo/PLANP_0000480	abnormal morphology of pharyngeal pouch surface 	http://purl.obolibrary.org/obo/PLANA_0000414	pharyngeal pouch surface
http://purl.obolibrary.org/obo/PLANP_0000484	abnormal morphology of pharynx lumen epithelial surface 	http://purl.obolibrary.org/obo/PLANA_0000412	pharynx lumen epithelial surface
http://purl.obolibrary.org/obo/PLANP_0000489	abnormal morphology of pharynx outer epithelial surface 	http://purl.obolibrary.org/obo/PLANA_0000413	pharynx outer epithelial surface
http://purl.obolibrary.org/obo/PLANP_0000488	abnormal morphology of posterior surface 	http://purl.obolibrary.org/obo/BSPO_0000372	posterior surface
http://purl.obolibrary.org/obo/PLANP_0000467	abnormal morphology of primitive ectoderm surface 	http://purl.obolibrary.org/obo/PLANA_0004512	primitive ectoderm surface
http://purl.obolibrary.org/obo/PLANP_0000482	abnormal morphology of primtive gut cell surface 	http://purl.obolibrary.org/obo/PLANA_0004513	primtive gut cell surface
http://purl.obolibrary.org/obo/PLANP_0000498	abnormal morphology of tail 	http://purl.obolibrary.org/obo/PLANA_0000421	tail
http://purl.obolibrary.org/obo/PLANP_0000486	abnormal morphology of temporary embryonic pharynx lumen epithelial surface 	http://purl.obolibrary.org/obo/PLANA_0004516	temporary embryonic pharynx lumen epithelial surface
http://purl.obolibrary.org/obo/PLANP_0000466	abnormal morphology of ventral surface 	http://purl.obolibrary.org/obo/BSPO_0000384	ventral surface
