defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0011454	anterior region endoderm increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000017	endoderm
http://purl.obolibrary.org/obo/ZP_0002340	anterior region notochord increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000135	notochord
http://purl.obolibrary.org/obo/ZP_0141208	anterior region pronephric duct increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000150	pronephric duct
http://purl.obolibrary.org/obo/ZP_0017403	anterior-posterior axis whole organism increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0008099	apical side cell increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000057	apical side	http://purl.obolibrary.org/obo/ZFA_0009000	cell
http://purl.obolibrary.org/obo/ZP_0011536	axis whole organism increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0000092	axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0137842	basal region midbrain hindbrain boundary constriction increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000074	basal region	http://purl.obolibrary.org/obo/ZFA_0007125	midbrain hindbrain boundary constriction
http://purl.obolibrary.org/obo/ZP_0140929	blood vessel retina increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0000152	retina
http://purl.obolibrary.org/obo/ZP_0102148	caveola neck notochord inner cell increased width, abnormal	http://purl.obolibrary.org/obo/GO_0099400	caveola neck	http://purl.obolibrary.org/obo/ZFA_0005746	notochord inner cell
http://purl.obolibrary.org/obo/ZP_0137374	cell midbrain hindbrain boundary constriction increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0007125	midbrain hindbrain boundary constriction
http://purl.obolibrary.org/obo/ZP_0011699	cell midbrain hindbrain boundary increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000042	midbrain hindbrain boundary
http://purl.obolibrary.org/obo/ZP_0020818	cell notochord increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000135	notochord
http://purl.obolibrary.org/obo/ZP_0003457	dorsal region ventral telencephalon increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region	http://purl.obolibrary.org/obo/ZFA_0000304	ventral telencephalon
http://purl.obolibrary.org/obo/ZP_0007582	endothelial tip cell intersegmental vessel increased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0009303	endothelial tip cell	http://purl.obolibrary.org/obo/ZFA_0001285	intersegmental vessel
http://purl.obolibrary.org/obo/ZP_0005369	left-right axis whole organism increased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000017	left-right axis	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
