biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0030587	http://purl.obolibrary.org/obo/UPHENO_0083046
http://purl.obolibrary.org/obo/GO_0031269	http://purl.obolibrary.org/obo/UPHENO_0083047
http://purl.obolibrary.org/obo/GO_0000022	http://purl.obolibrary.org/obo/UPHENO_0083048
http://purl.obolibrary.org/obo/GO_1903013	http://purl.obolibrary.org/obo/UPHENO_0083049
http://purl.obolibrary.org/obo/GO_0006972	http://purl.obolibrary.org/obo/UPHENO_0083050
http://purl.obolibrary.org/obo/GO_0044655	http://purl.obolibrary.org/obo/UPHENO_0083051
http://purl.obolibrary.org/obo/GO_0006971	http://purl.obolibrary.org/obo/UPHENO_0083052
http://purl.obolibrary.org/obo/GO_0061952	http://purl.obolibrary.org/obo/UPHENO_0083053
http://purl.obolibrary.org/obo/GO_0010467	http://purl.obolibrary.org/obo/UPHENO_0083054
http://purl.obolibrary.org/obo/GO_0043934	http://purl.obolibrary.org/obo/UPHENO_0083055
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0000543
http://purl.obolibrary.org/obo/GO_0031154	http://purl.obolibrary.org/obo/UPHENO_0083056
http://purl.obolibrary.org/obo/GO_0000910	http://purl.obolibrary.org/obo/UPHENO_0083057
http://purl.obolibrary.org/obo/GO_0031153	http://purl.obolibrary.org/obo/UPHENO_0083058
http://purl.obolibrary.org/obo/GO_0031152	http://purl.obolibrary.org/obo/UPHENO_0083059
http://purl.obolibrary.org/obo/GO_0051591	http://purl.obolibrary.org/obo/UPHENO_0083060
http://purl.obolibrary.org/obo/GO_0090383	http://purl.obolibrary.org/obo/UPHENO_0083061
