biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0007601	http://purl.obolibrary.org/obo/UPHENO_0078456
http://purl.obolibrary.org/obo/GO_0022011	http://purl.obolibrary.org/obo/UPHENO_0078486
http://purl.obolibrary.org/obo/GO_0042703	http://purl.obolibrary.org/obo/UPHENO_0078479
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0034024
http://purl.obolibrary.org/obo/GO_0050881	http://purl.obolibrary.org/obo/UPHENO_0078487
http://purl.obolibrary.org/obo/NBO_0000043	http://purl.obolibrary.org/obo/UPHENO_0080956
http://purl.obolibrary.org/obo/GO_0046543	http://purl.obolibrary.org/obo/UPHENO_0078488
http://purl.obolibrary.org/obo/GO_0060073	http://purl.obolibrary.org/obo/UPHENO_0078474
http://purl.obolibrary.org/obo/GO_0007585	http://purl.obolibrary.org/obo/UPHENO_0078461
http://purl.obolibrary.org/obo/NBO_0000011	http://purl.obolibrary.org/obo/UPHENO_0080957
http://purl.obolibrary.org/obo/GO_0045136	http://purl.obolibrary.org/obo/UPHENO_0078489
