biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0032602	http://purl.obolibrary.org/obo/UPHENO_0080590
http://purl.obolibrary.org/obo/NBO_0000446	http://purl.obolibrary.org/obo/UPHENO_0078579
http://purl.obolibrary.org/obo/NBO_0000403	http://purl.obolibrary.org/obo/UPHENO_0078622
http://purl.obolibrary.org/obo/NBO_0000128	http://purl.obolibrary.org/obo/UPHENO_0080591
http://purl.obolibrary.org/obo/GO_0006776	http://purl.obolibrary.org/obo/UPHENO_0078581
http://purl.obolibrary.org/obo/NBO_0000444	http://purl.obolibrary.org/obo/UPHENO_0080581
http://purl.obolibrary.org/obo/GO_0001764	http://purl.obolibrary.org/obo/UPHENO_0049852
http://purl.obolibrary.org/obo/NBO_0000605	http://purl.obolibrary.org/obo/UPHENO_0080582
http://purl.obolibrary.org/obo/GO_0070085	http://purl.obolibrary.org/obo/UPHENO_0078623
http://purl.obolibrary.org/obo/NBO_0000129	http://purl.obolibrary.org/obo/UPHENO_0080592
http://purl.obolibrary.org/obo/GO_0043084	http://purl.obolibrary.org/obo/UPHENO_0080583
http://purl.obolibrary.org/obo/GO_0001843	http://purl.obolibrary.org/obo/UPHENO_0051077
http://purl.obolibrary.org/obo/GO_0006693	http://purl.obolibrary.org/obo/UPHENO_0078624
http://purl.obolibrary.org/obo/GO_0042593	http://purl.obolibrary.org/obo/UPHENO_0050433
http://purl.obolibrary.org/obo/GO_0006493	http://purl.obolibrary.org/obo/UPHENO_0078583
http://purl.obolibrary.org/obo/GO_0042110	http://purl.obolibrary.org/obo/UPHENO_0078625
http://purl.obolibrary.org/obo/GO_0007268	http://purl.obolibrary.org/obo/UPHENO_0049907
http://purl.obolibrary.org/obo/GO_0042552	http://purl.obolibrary.org/obo/UPHENO_0050406
http://purl.obolibrary.org/obo/GO_0070527	http://purl.obolibrary.org/obo/UPHENO_0078627
http://purl.obolibrary.org/obo/GO_0042755	http://purl.obolibrary.org/obo/UPHENO_0049798
http://purl.obolibrary.org/obo/GO_0014831	http://purl.obolibrary.org/obo/UPHENO_0050696
http://purl.obolibrary.org/obo/GO_0042359	http://purl.obolibrary.org/obo/UPHENO_0078628
http://purl.obolibrary.org/obo/GO_0042756	http://purl.obolibrary.org/obo/UPHENO_0078629
http://purl.obolibrary.org/obo/GO_0008283	http://purl.obolibrary.org/obo/UPHENO_0049858
http://purl.obolibrary.org/obo/GO_0042713	http://purl.obolibrary.org/obo/UPHENO_0078585
http://purl.obolibrary.org/obo/NBO_0000092	http://purl.obolibrary.org/obo/UPHENO_0080593
http://purl.obolibrary.org/obo/GO_0050892	http://purl.obolibrary.org/obo/UPHENO_0078630
http://purl.obolibrary.org/obo/NBO_0000054	http://purl.obolibrary.org/obo/UPHENO_0080584
http://purl.obolibrary.org/obo/GO_0030261	http://purl.obolibrary.org/obo/UPHENO_0049918
http://purl.obolibrary.org/obo/NBO_0000011	http://purl.obolibrary.org/obo/UPHENO_0080594
http://purl.obolibrary.org/obo/GO_0003014	http://purl.obolibrary.org/obo/UPHENO_0051191
http://purl.obolibrary.org/obo/GO_0006766	http://purl.obolibrary.org/obo/UPHENO_0078589
http://purl.obolibrary.org/obo/GO_0006687	http://purl.obolibrary.org/obo/UPHENO_0051153
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0080585
http://purl.obolibrary.org/obo/GO_0022011	http://purl.obolibrary.org/obo/UPHENO_0050370
http://purl.obolibrary.org/obo/GO_0022010	http://purl.obolibrary.org/obo/UPHENO_0050372
http://purl.obolibrary.org/obo/NBO_0001845	http://purl.obolibrary.org/obo/UPHENO_0080595
http://purl.obolibrary.org/obo/GO_0072350	http://purl.obolibrary.org/obo/UPHENO_0078590
http://purl.obolibrary.org/obo/GO_0070293	http://purl.obolibrary.org/obo/UPHENO_0051280
http://purl.obolibrary.org/obo/GO_0006801	http://purl.obolibrary.org/obo/UPHENO_0078591
http://purl.obolibrary.org/obo/NBO_0000119	http://purl.obolibrary.org/obo/UPHENO_0080596
http://purl.obolibrary.org/obo/GO_0046541	http://purl.obolibrary.org/obo/UPHENO_0078637
http://purl.obolibrary.org/obo/GO_0042100	http://purl.obolibrary.org/obo/UPHENO_0078638
http://purl.obolibrary.org/obo/GO_0006487	http://purl.obolibrary.org/obo/UPHENO_0078593
http://purl.obolibrary.org/obo/GO_0006520	http://purl.obolibrary.org/obo/UPHENO_0051195
http://purl.obolibrary.org/obo/GO_0003010	http://purl.obolibrary.org/obo/UPHENO_0051196
http://purl.obolibrary.org/obo/GO_0006486	http://purl.obolibrary.org/obo/UPHENO_0078594
http://purl.obolibrary.org/obo/GO_0009235	http://purl.obolibrary.org/obo/UPHENO_0078595
http://purl.obolibrary.org/obo/GO_0042703	http://purl.obolibrary.org/obo/UPHENO_0078597
http://purl.obolibrary.org/obo/GO_0040007	http://purl.obolibrary.org/obo/UPHENO_0049874
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0049587
http://purl.obolibrary.org/obo/NBO_0000120	http://purl.obolibrary.org/obo/UPHENO_0080597
http://purl.obolibrary.org/obo/NBO_0000003	http://purl.obolibrary.org/obo/UPHENO_0080598
http://purl.obolibrary.org/obo/GO_0006954	http://purl.obolibrary.org/obo/UPHENO_0049584
http://purl.obolibrary.org/obo/GO_0050878	http://purl.obolibrary.org/obo/UPHENO_0050619
http://purl.obolibrary.org/obo/GO_0007601	http://purl.obolibrary.org/obo/UPHENO_0050622
http://purl.obolibrary.org/obo/GO_1903510	http://purl.obolibrary.org/obo/UPHENO_0050655
http://purl.obolibrary.org/obo/GO_0042098	http://purl.obolibrary.org/obo/UPHENO_0078600
http://purl.obolibrary.org/obo/GO_0042373	http://purl.obolibrary.org/obo/UPHENO_0078601
http://purl.obolibrary.org/obo/GO_0046651	http://purl.obolibrary.org/obo/UPHENO_0078645
http://purl.obolibrary.org/obo/GO_0007049	http://purl.obolibrary.org/obo/UPHENO_0049952
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UPHENO_0051097
http://purl.obolibrary.org/obo/GO_0060464	http://purl.obolibrary.org/obo/UPHENO_0078603
http://purl.obolibrary.org/obo/GO_0006281	http://purl.obolibrary.org/obo/UPHENO_0051124
http://purl.obolibrary.org/obo/GO_0019221	http://purl.obolibrary.org/obo/UPHENO_0078604
http://purl.obolibrary.org/obo/GO_0036066	http://purl.obolibrary.org/obo/UPHENO_0078605
http://purl.obolibrary.org/obo/GO_0031052	http://purl.obolibrary.org/obo/UPHENO_0078606
http://purl.obolibrary.org/obo/GO_0001573	http://purl.obolibrary.org/obo/UPHENO_0078647
http://purl.obolibrary.org/obo/NBO_0000018	http://purl.obolibrary.org/obo/UPHENO_0080599
http://purl.obolibrary.org/obo/NBO_0000015	http://purl.obolibrary.org/obo/UPHENO_0080600
http://purl.obolibrary.org/obo/NBO_0001786	http://purl.obolibrary.org/obo/UPHENO_0080586
http://purl.obolibrary.org/obo/NBO_0000417	http://purl.obolibrary.org/obo/UPHENO_0080601
