anatomical_entity	location	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001231	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0002049	http://purl.obolibrary.org/obo/UBERON_0001811	http://purl.obolibrary.org/obo/UPHENO_0015306
http://purl.obolibrary.org/obo/UBERON_0002389	http://purl.obolibrary.org/obo/UBERON_0002398	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001637	http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UPHENO_0015278
http://purl.obolibrary.org/obo/UBERON_0000982	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0079870
http://purl.obolibrary.org/obo/UBERON_0001021	http://purl.obolibrary.org/obo/UBERON_0001846	http://purl.obolibrary.org/obo/UPHENO_0015310
http://purl.obolibrary.org/obo/GO_0031514	http://purl.obolibrary.org/obo/UBERON_0001004	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UPHENO_0015314
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0012476	http://purl.obolibrary.org/obo/UPHENO_0079871
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0001442	http://purl.obolibrary.org/obo/UPHENO_0084444
http://purl.obolibrary.org/obo/UBERON_0001438	http://purl.obolibrary.org/obo/UBERON_0002398	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0004769	http://purl.obolibrary.org/obo/UBERON_0002398	http://purl.obolibrary.org/obo/UPHENO_0084445
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0012475	http://purl.obolibrary.org/obo/UPHENO_0079872
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0010707	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0001449	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/CL_0000066	http://purl.obolibrary.org/obo/UBERON_0001231	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UBERON_0008878	http://purl.obolibrary.org/obo/UPHENO_0081432
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001004	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0004769	http://purl.obolibrary.org/obo/UBERON_0012475	http://purl.obolibrary.org/obo/UPHENO_0079874
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0008878	http://purl.obolibrary.org/obo/UPHENO_0081433
http://purl.obolibrary.org/obo/UBERON_0002049	http://purl.obolibrary.org/obo/UBERON_0005409	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001811	http://purl.obolibrary.org/obo/UPHENO_0015293
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001442	http://purl.obolibrary.org/obo/UPHENO_0084447
http://purl.obolibrary.org/obo/UBERON_0002049	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0081434
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002398	http://purl.obolibrary.org/obo/UPHENO_0084448
http://purl.obolibrary.org/obo/UBERON_0004769	http://purl.obolibrary.org/obo/UBERON_0012476	http://purl.obolibrary.org/obo/UPHENO_0079875
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0079876
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0005409	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001846	http://purl.obolibrary.org/obo/UPHENO_0015328
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0081435
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001449	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001438	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001438	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0084757
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0010707	http://purl.obolibrary.org/obo/UPHENO_0084757
