chemical_entity	defined_class
http://purl.obolibrary.org/obo/CHEBI_84690	http://purl.obolibrary.org/obo/UPHENO_0048757
http://purl.obolibrary.org/obo/PR_000003964	http://purl.obolibrary.org/obo/UPHENO_0048758
http://purl.obolibrary.org/obo/PR_000013246	http://purl.obolibrary.org/obo/UPHENO_0048736
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0048707
http://purl.obolibrary.org/obo/PR_000003809	http://purl.obolibrary.org/obo/UPHENO_0048751
http://purl.obolibrary.org/obo/PR_Q15848	http://purl.obolibrary.org/obo/UPHENO_0082942
http://purl.obolibrary.org/obo/CHEBI_84125	http://purl.obolibrary.org/obo/UPHENO_0048752
http://purl.obolibrary.org/obo/PR_000003969	http://purl.obolibrary.org/obo/UPHENO_0048760
http://purl.obolibrary.org/obo/CHEBI_546807	http://purl.obolibrary.org/obo/UPHENO_0048753
http://purl.obolibrary.org/obo/CHEBI_84118	http://purl.obolibrary.org/obo/UPHENO_0048755
http://purl.obolibrary.org/obo/PR_000003968	http://purl.obolibrary.org/obo/UPHENO_0075666
