biological_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000620	http://purl.obolibrary.org/obo/UPHENO_0082826
http://purl.obolibrary.org/obo/GO_0060004	http://purl.obolibrary.org/obo/UPHENO_0055092
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0054970
http://purl.obolibrary.org/obo/GO_0006955	http://purl.obolibrary.org/obo/UPHENO_0055096
http://purl.obolibrary.org/obo/GO_0030252	http://purl.obolibrary.org/obo/UPHENO_0055017
http://purl.obolibrary.org/obo/NBO_0000608	http://purl.obolibrary.org/obo/UPHENO_0082827
http://purl.obolibrary.org/obo/GO_0042065	http://purl.obolibrary.org/obo/UPHENO_0076676
http://purl.obolibrary.org/obo/GO_0070227	http://purl.obolibrary.org/obo/UPHENO_0055098
http://purl.obolibrary.org/obo/GO_0042465	http://purl.obolibrary.org/obo/UPHENO_0076677
http://purl.obolibrary.org/obo/GO_0046951	http://purl.obolibrary.org/obo/UPHENO_0055032
http://purl.obolibrary.org/obo/GO_0060073	http://purl.obolibrary.org/obo/UPHENO_0055007
