anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0086088
http://purl.obolibrary.org/obo/UBERON_0004452	http://purl.obolibrary.org/obo/UPHENO_0086096
http://purl.obolibrary.org/obo/UBERON_0001466	http://purl.obolibrary.org/obo/UPHENO_0086097
http://purl.obolibrary.org/obo/UBERON_0000982	http://purl.obolibrary.org/obo/UPHENO_0086091
http://purl.obolibrary.org/obo/UBERON_0006767	http://purl.obolibrary.org/obo/UPHENO_0086098
http://purl.obolibrary.org/obo/UBERON_0002446	http://purl.obolibrary.org/obo/UPHENO_0086092
http://purl.obolibrary.org/obo/UBERON_0001467	http://purl.obolibrary.org/obo/UPHENO_0086099
http://purl.obolibrary.org/obo/UBERON_0001464	http://purl.obolibrary.org/obo/UPHENO_0086100
http://purl.obolibrary.org/obo/UBERON_0001012	http://purl.obolibrary.org/obo/UPHENO_0086095
http://purl.obolibrary.org/obo/UBERON_0001485	http://purl.obolibrary.org/obo/UPHENO_0086101
