behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000334	http://purl.obolibrary.org/obo/UPHENO_0080660
http://purl.obolibrary.org/obo/NBO_0000576	http://purl.obolibrary.org/obo/UPHENO_0063687
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0063688
http://purl.obolibrary.org/obo/NBO_0000401	http://purl.obolibrary.org/obo/UPHENO_0063689
http://purl.obolibrary.org/obo/NBO_0000416	http://purl.obolibrary.org/obo/UPHENO_0063690
http://purl.obolibrary.org/obo/NBO_0000449	http://purl.obolibrary.org/obo/UPHENO_0063691
http://purl.obolibrary.org/obo/NBO_0000391	http://purl.obolibrary.org/obo/UPHENO_0063692
http://purl.obolibrary.org/obo/NBO_0000418	http://purl.obolibrary.org/obo/UPHENO_0063693
http://purl.obolibrary.org/obo/NBO_0000154	http://purl.obolibrary.org/obo/UPHENO_0063694
http://purl.obolibrary.org/obo/NBO_0000332	http://purl.obolibrary.org/obo/UPHENO_0063695
