anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0002360	http://purl.obolibrary.org/obo/UPHENO_0090016
http://purl.obolibrary.org/obo/CL_0000120	http://purl.obolibrary.org/obo/UPHENO_0090017
http://purl.obolibrary.org/obo/UBERON_0002282	http://purl.obolibrary.org/obo/UPHENO_0090018
http://purl.obolibrary.org/obo/UBERON_0010412	http://purl.obolibrary.org/obo/UPHENO_0090019
http://purl.obolibrary.org/obo/CL_0000125	http://purl.obolibrary.org/obo/UPHENO_0090020
http://purl.obolibrary.org/obo/UBERON_0010416	http://purl.obolibrary.org/obo/UPHENO_0090021
http://purl.obolibrary.org/obo/UBERON_0010417	http://purl.obolibrary.org/obo/UPHENO_0090022
http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0090023
http://purl.obolibrary.org/obo/UBERON_0002007	http://purl.obolibrary.org/obo/UPHENO_0090024
http://purl.obolibrary.org/obo/UBERON_0001798	http://purl.obolibrary.org/obo/UPHENO_0090025
http://purl.obolibrary.org/obo/CL_0000081	http://purl.obolibrary.org/obo/UPHENO_0090026
http://purl.obolibrary.org/obo/UBERON_0002127	http://purl.obolibrary.org/obo/UPHENO_0090027
http://purl.obolibrary.org/obo/UBERON_0002006	http://purl.obolibrary.org/obo/UPHENO_0090028
http://purl.obolibrary.org/obo/UBERON_0001077	http://purl.obolibrary.org/obo/UPHENO_0090029
http://purl.obolibrary.org/obo/UBERON_0003697	http://purl.obolibrary.org/obo/UPHENO_0090030
http://purl.obolibrary.org/obo/UBERON_0001992	http://purl.obolibrary.org/obo/UPHENO_0090031
http://purl.obolibrary.org/obo/UBERON_0005356	http://purl.obolibrary.org/obo/UPHENO_0090032
http://purl.obolibrary.org/obo/UBERON_0001310	http://purl.obolibrary.org/obo/UPHENO_0090033
http://purl.obolibrary.org/obo/UBERON_0002519	http://purl.obolibrary.org/obo/UPHENO_0090034
http://purl.obolibrary.org/obo/CL_0000806	http://purl.obolibrary.org/obo/UPHENO_0090035
http://purl.obolibrary.org/obo/UBERON_0001946	http://purl.obolibrary.org/obo/UPHENO_0090036
http://purl.obolibrary.org/obo/UBERON_0002518	http://purl.obolibrary.org/obo/UPHENO_0090037
http://purl.obolibrary.org/obo/UBERON_0001305	http://purl.obolibrary.org/obo/UPHENO_0090038
http://purl.obolibrary.org/obo/UBERON_0001945	http://purl.obolibrary.org/obo/UPHENO_0090039
http://purl.obolibrary.org/obo/UBERON_0002956	http://purl.obolibrary.org/obo/UPHENO_0090040
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090041
http://purl.obolibrary.org/obo/UBERON_0002195	http://purl.obolibrary.org/obo/UPHENO_0090042
http://purl.obolibrary.org/obo/UBERON_0004451	http://purl.obolibrary.org/obo/UPHENO_0090043
http://purl.obolibrary.org/obo/UBERON_0002076	http://purl.obolibrary.org/obo/UPHENO_0090044
http://purl.obolibrary.org/obo/CL_0000650	http://purl.obolibrary.org/obo/UPHENO_0090045
http://purl.obolibrary.org/obo/CL_0000452	http://purl.obolibrary.org/obo/UPHENO_0090046
http://purl.obolibrary.org/obo/UBERON_0005184	http://purl.obolibrary.org/obo/UPHENO_0090047
http://purl.obolibrary.org/obo/UBERON_0004096	http://purl.obolibrary.org/obo/UPHENO_0090048
http://purl.obolibrary.org/obo/CL_0000653	http://purl.obolibrary.org/obo/UPHENO_0090049
http://purl.obolibrary.org/obo/UBERON_0001862	http://purl.obolibrary.org/obo/UPHENO_0090050
http://purl.obolibrary.org/obo/UBERON_0002279	http://purl.obolibrary.org/obo/UPHENO_0090051
http://purl.obolibrary.org/obo/UBERON_0000412	http://purl.obolibrary.org/obo/UPHENO_0090052
http://purl.obolibrary.org/obo/UBERON_0002077	http://purl.obolibrary.org/obo/UPHENO_0090053
http://purl.obolibrary.org/obo/UBERON_0005620	http://purl.obolibrary.org/obo/UPHENO_0090054
http://purl.obolibrary.org/obo/UBERON_0002310	http://purl.obolibrary.org/obo/UPHENO_0090055
http://purl.obolibrary.org/obo/UBERON_0014451	http://purl.obolibrary.org/obo/UPHENO_0090056
http://purl.obolibrary.org/obo/UBERON_0000325	http://purl.obolibrary.org/obo/UPHENO_0090057
http://purl.obolibrary.org/obo/UBERON_0012352	http://purl.obolibrary.org/obo/UPHENO_0090058
http://purl.obolibrary.org/obo/UBERON_0010513	http://purl.obolibrary.org/obo/UPHENO_0090059
http://purl.obolibrary.org/obo/UBERON_0010514	http://purl.obolibrary.org/obo/UPHENO_0090060
http://purl.obolibrary.org/obo/UBERON_0010511	http://purl.obolibrary.org/obo/UPHENO_0090061
http://purl.obolibrary.org/obo/UBERON_0010753	http://purl.obolibrary.org/obo/UPHENO_0090062
http://purl.obolibrary.org/obo/UBERON_0010512	http://purl.obolibrary.org/obo/UPHENO_0090063
http://purl.obolibrary.org/obo/CL_0000300	http://purl.obolibrary.org/obo/UPHENO_0090064
http://purl.obolibrary.org/obo/UBERON_0002467	http://purl.obolibrary.org/obo/UPHENO_0090065
http://purl.obolibrary.org/obo/UBERON_0000365	http://purl.obolibrary.org/obo/UPHENO_0090066
http://purl.obolibrary.org/obo/UBERON_0002226	http://purl.obolibrary.org/obo/UPHENO_0090067
http://purl.obolibrary.org/obo/UBERON_0001852	http://purl.obolibrary.org/obo/UPHENO_0090068
http://purl.obolibrary.org/obo/UBERON_0002468	http://purl.obolibrary.org/obo/UPHENO_0090069
http://purl.obolibrary.org/obo/UBERON_0002303	http://purl.obolibrary.org/obo/UPHENO_0090070
http://purl.obolibrary.org/obo/UBERON_0001896	http://purl.obolibrary.org/obo/UPHENO_0090071
http://purl.obolibrary.org/obo/GO_0001917	http://purl.obolibrary.org/obo/UPHENO_0090072
http://purl.obolibrary.org/obo/UBERON_0005810	http://purl.obolibrary.org/obo/UPHENO_0090073
http://purl.obolibrary.org/obo/UBERON_0001726	http://purl.obolibrary.org/obo/UPHENO_0090074
http://purl.obolibrary.org/obo/UBERON_0001849	http://purl.obolibrary.org/obo/UPHENO_0090075
http://purl.obolibrary.org/obo/UBERON_0001843	http://purl.obolibrary.org/obo/UPHENO_0090076
http://purl.obolibrary.org/obo/UBERON_0002979	http://purl.obolibrary.org/obo/UPHENO_0090077
http://purl.obolibrary.org/obo/UBERON_0001725	http://purl.obolibrary.org/obo/UPHENO_0090078
http://purl.obolibrary.org/obo/UBERON_0001845	http://purl.obolibrary.org/obo/UPHENO_0090079
