anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0002360	http://purl.obolibrary.org/obo/UPHENO_0075672
http://purl.obolibrary.org/obo/CL_0000120	http://purl.obolibrary.org/obo/UPHENO_0087306
http://purl.obolibrary.org/obo/UBERON_0002282	http://purl.obolibrary.org/obo/UPHENO_0075673
http://purl.obolibrary.org/obo/UBERON_0010412	http://purl.obolibrary.org/obo/UPHENO_0075674
http://purl.obolibrary.org/obo/CL_0000125	http://purl.obolibrary.org/obo/UPHENO_0087307
http://purl.obolibrary.org/obo/UBERON_0010416	http://purl.obolibrary.org/obo/UPHENO_0075675
http://purl.obolibrary.org/obo/UBERON_0010417	http://purl.obolibrary.org/obo/UPHENO_0075676
http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0075677
http://purl.obolibrary.org/obo/UBERON_0002007	http://purl.obolibrary.org/obo/UPHENO_0075678
http://purl.obolibrary.org/obo/UBERON_0001798	http://purl.obolibrary.org/obo/UPHENO_0075679
http://purl.obolibrary.org/obo/CL_0000081	http://purl.obolibrary.org/obo/UPHENO_0087308
http://purl.obolibrary.org/obo/UBERON_0002127	http://purl.obolibrary.org/obo/UPHENO_0075680
http://purl.obolibrary.org/obo/UBERON_0002006	http://purl.obolibrary.org/obo/UPHENO_0075681
http://purl.obolibrary.org/obo/UBERON_0001077	http://purl.obolibrary.org/obo/UPHENO_0075683
http://purl.obolibrary.org/obo/UBERON_0003697	http://purl.obolibrary.org/obo/UPHENO_0075684
http://purl.obolibrary.org/obo/UBERON_0001992	http://purl.obolibrary.org/obo/UPHENO_0075687
http://purl.obolibrary.org/obo/UBERON_0005356	http://purl.obolibrary.org/obo/UPHENO_0075688
http://purl.obolibrary.org/obo/UBERON_0001310	http://purl.obolibrary.org/obo/UPHENO_0075689
http://purl.obolibrary.org/obo/UBERON_0002519	http://purl.obolibrary.org/obo/UPHENO_0075690
http://purl.obolibrary.org/obo/CL_0000806	http://purl.obolibrary.org/obo/UPHENO_0087309
http://purl.obolibrary.org/obo/UBERON_0001946	http://purl.obolibrary.org/obo/UPHENO_0075691
http://purl.obolibrary.org/obo/UBERON_0002518	http://purl.obolibrary.org/obo/UPHENO_0075692
http://purl.obolibrary.org/obo/UBERON_0001305	http://purl.obolibrary.org/obo/UPHENO_0075693
http://purl.obolibrary.org/obo/UBERON_0001945	http://purl.obolibrary.org/obo/UPHENO_0075694
http://purl.obolibrary.org/obo/UBERON_0002956	http://purl.obolibrary.org/obo/UPHENO_0075695
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0075696
http://purl.obolibrary.org/obo/UBERON_0002195	http://purl.obolibrary.org/obo/UPHENO_0075697
http://purl.obolibrary.org/obo/UBERON_0004451	http://purl.obolibrary.org/obo/UPHENO_0075698
http://purl.obolibrary.org/obo/UBERON_0002076	http://purl.obolibrary.org/obo/UPHENO_0075699
http://purl.obolibrary.org/obo/CL_0000650	http://purl.obolibrary.org/obo/UPHENO_0087310
http://purl.obolibrary.org/obo/CL_0000452	http://purl.obolibrary.org/obo/UPHENO_0087311
http://purl.obolibrary.org/obo/UBERON_0005184	http://purl.obolibrary.org/obo/UPHENO_0075700
http://purl.obolibrary.org/obo/UBERON_0004096	http://purl.obolibrary.org/obo/UPHENO_0075701
http://purl.obolibrary.org/obo/CL_0000653	http://purl.obolibrary.org/obo/UPHENO_0087312
http://purl.obolibrary.org/obo/UBERON_0001862	http://purl.obolibrary.org/obo/UPHENO_0075702
http://purl.obolibrary.org/obo/UBERON_0002279	http://purl.obolibrary.org/obo/UPHENO_0075703
http://purl.obolibrary.org/obo/UBERON_0000412	http://purl.obolibrary.org/obo/UPHENO_0075704
http://purl.obolibrary.org/obo/UBERON_0002077	http://purl.obolibrary.org/obo/UPHENO_0075705
http://purl.obolibrary.org/obo/UBERON_0005620	http://purl.obolibrary.org/obo/UPHENO_0075707
http://purl.obolibrary.org/obo/UBERON_0002310	http://purl.obolibrary.org/obo/UPHENO_0075708
http://purl.obolibrary.org/obo/UBERON_0014451	http://purl.obolibrary.org/obo/UPHENO_0075709
http://purl.obolibrary.org/obo/UBERON_0000325	http://purl.obolibrary.org/obo/UPHENO_0075710
http://purl.obolibrary.org/obo/UBERON_0012352	http://purl.obolibrary.org/obo/UPHENO_0075713
http://purl.obolibrary.org/obo/UBERON_0010513	http://purl.obolibrary.org/obo/UPHENO_0075714
