biological_process	defined_class
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0080578
http://purl.obolibrary.org/obo/GO_0097421	http://purl.obolibrary.org/obo/UPHENO_0051010
http://purl.obolibrary.org/obo/GO_0001666	http://purl.obolibrary.org/obo/UPHENO_0049879
http://purl.obolibrary.org/obo/GO_0007143	http://purl.obolibrary.org/obo/UPHENO_0089597
http://purl.obolibrary.org/obo/GO_0044321	http://purl.obolibrary.org/obo/UPHENO_0089598
http://purl.obolibrary.org/obo/GO_0007056	http://purl.obolibrary.org/obo/UPHENO_0089599
http://purl.obolibrary.org/obo/GO_0043403	http://purl.obolibrary.org/obo/UPHENO_0083067
http://purl.obolibrary.org/obo/GO_0040038	http://purl.obolibrary.org/obo/UPHENO_0089600
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0049587
http://purl.obolibrary.org/obo/GO_0061026	http://purl.obolibrary.org/obo/UPHENO_0051022
http://purl.obolibrary.org/obo/GO_0099129	http://purl.obolibrary.org/obo/UPHENO_0088214
http://purl.obolibrary.org/obo/NBO_0000211	http://purl.obolibrary.org/obo/UPHENO_0080579
http://purl.obolibrary.org/obo/NBO_0000221	http://purl.obolibrary.org/obo/UPHENO_0080580
