biological_process	defined_class
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0082002
http://purl.obolibrary.org/obo/GO_0001553	http://purl.obolibrary.org/obo/UPHENO_0085647
http://purl.obolibrary.org/obo/GO_0030317	http://purl.obolibrary.org/obo/UPHENO_0052749
http://purl.obolibrary.org/obo/GO_0097421	http://purl.obolibrary.org/obo/UPHENO_0083981
http://purl.obolibrary.org/obo/GO_0044321	http://purl.obolibrary.org/obo/UPHENO_0089683
http://purl.obolibrary.org/obo/GO_0007056	http://purl.obolibrary.org/obo/UPHENO_0089684
http://purl.obolibrary.org/obo/GO_0009566	http://purl.obolibrary.org/obo/UPHENO_0082001
http://purl.obolibrary.org/obo/GO_0043403	http://purl.obolibrary.org/obo/UPHENO_0082006
http://purl.obolibrary.org/obo/GO_0040038	http://purl.obolibrary.org/obo/UPHENO_0089685
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0052178
http://purl.obolibrary.org/obo/GO_0042628	http://purl.obolibrary.org/obo/UPHENO_0089686
http://purl.obolibrary.org/obo/GO_0061026	http://purl.obolibrary.org/obo/UPHENO_0052450
http://purl.obolibrary.org/obo/GO_0099129	http://purl.obolibrary.org/obo/UPHENO_0085648
