biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0007567	http://purl.obolibrary.org/obo/UPHENO_0083037
http://purl.obolibrary.org/obo/GO_0003006	http://purl.obolibrary.org/obo/UPHENO_0000511
http://purl.obolibrary.org/obo/GO_0044691	http://purl.obolibrary.org/obo/UPHENO_0000512
http://purl.obolibrary.org/obo/GO_0042060	http://purl.obolibrary.org/obo/UPHENO_0000534
http://purl.obolibrary.org/obo/GO_0097421	http://purl.obolibrary.org/obo/UPHENO_0076948
http://purl.obolibrary.org/obo/GO_0061053	http://purl.obolibrary.org/obo/UPHENO_0000515
http://purl.obolibrary.org/obo/GO_0060186	http://purl.obolibrary.org/obo/UPHENO_0000517
http://purl.obolibrary.org/obo/GO_0060197	http://purl.obolibrary.org/obo/UPHENO_0000536
http://purl.obolibrary.org/obo/GO_0007566	http://purl.obolibrary.org/obo/UPHENO_0000519
http://purl.obolibrary.org/obo/GO_0042640	http://purl.obolibrary.org/obo/UPHENO_0000537
http://purl.obolibrary.org/obo/GO_0042696	http://purl.obolibrary.org/obo/UPHENO_0000522
http://purl.obolibrary.org/obo/GO_0060710	http://purl.obolibrary.org/obo/UPHENO_0076946
http://purl.obolibrary.org/obo/GO_0009566	http://purl.obolibrary.org/obo/UPHENO_0000523
http://purl.obolibrary.org/obo/GO_0043403	http://purl.obolibrary.org/obo/UPHENO_0083038
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0000543
http://purl.obolibrary.org/obo/GO_0061026	http://purl.obolibrary.org/obo/UPHENO_0083039
http://purl.obolibrary.org/obo/GO_0060322	http://purl.obolibrary.org/obo/UPHENO_0000526
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UPHENO_0000527
http://purl.obolibrary.org/obo/GO_0001822	http://purl.obolibrary.org/obo/UPHENO_0000528
http://purl.obolibrary.org/obo/GO_0001957	http://purl.obolibrary.org/obo/UPHENO_0000546
http://purl.obolibrary.org/obo/GO_0035483	http://purl.obolibrary.org/obo/UPHENO_0000547
http://purl.obolibrary.org/obo/GO_0001958	http://purl.obolibrary.org/obo/UPHENO_0000550
http://purl.obolibrary.org/obo/GO_0048839	http://purl.obolibrary.org/obo/UPHENO_0000531
http://purl.obolibrary.org/obo/GO_0060209	http://purl.obolibrary.org/obo/UPHENO_0000532
