anatomical_entity	anatomical_entity_detached_from	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002276	http://purl.obolibrary.org/obo/UPHENO_0081657
http://purl.obolibrary.org/obo/GO_0001669	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090960
http://purl.obolibrary.org/obo/UBERON_0008266	http://purl.obolibrary.org/obo/UBERON_0001753	http://purl.obolibrary.org/obo/UPHENO_0081658
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/GO_0001673	http://purl.obolibrary.org/obo/UPHENO_0090961
http://purl.obolibrary.org/obo/UBERON_0002165	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090962
http://purl.obolibrary.org/obo/UBERON_0002233	http://purl.obolibrary.org/obo/UBERON_0002276	http://purl.obolibrary.org/obo/UPHENO_0081661
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001753	http://purl.obolibrary.org/obo/UPHENO_0081663
http://purl.obolibrary.org/obo/UBERON_0002425	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090963
http://purl.obolibrary.org/obo/UBERON_0002165	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090964
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081667
http://purl.obolibrary.org/obo/GO_0001669	http://purl.obolibrary.org/obo/GO_0001673	http://purl.obolibrary.org/obo/UPHENO_0090965
http://purl.obolibrary.org/obo/UBERON_0002425	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090966
http://purl.obolibrary.org/obo/UBERON_0008266	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081668
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090967
http://purl.obolibrary.org/obo/UBERON_0002233	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081669
