biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0015249	http://purl.obolibrary.org/obo/UPHENO_0074569
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0081733
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0081734
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0074575
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001513	http://purl.obolibrary.org/obo/UPHENO_0074576
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0074577
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001621	http://purl.obolibrary.org/obo/UPHENO_0084477
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001459	http://purl.obolibrary.org/obo/UPHENO_0074578
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0016475	http://purl.obolibrary.org/obo/UPHENO_0074580
http://purl.obolibrary.org/obo/GO_0051458	http://purl.obolibrary.org/obo/CL_0002309	http://purl.obolibrary.org/obo/UPHENO_0080031
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0016475	http://purl.obolibrary.org/obo/UPHENO_0074581
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0074644
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0001869	http://purl.obolibrary.org/obo/UPHENO_0081735
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0074584
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000007	http://purl.obolibrary.org/obo/UPHENO_0074585
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001459	http://purl.obolibrary.org/obo/UPHENO_0074586
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001513	http://purl.obolibrary.org/obo/UPHENO_0074587
http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/UBERON_0000007	http://purl.obolibrary.org/obo/UPHENO_0074588
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0081736
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0015249	http://purl.obolibrary.org/obo/UPHENO_0074590
http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0074591
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0003534	http://purl.obolibrary.org/obo/UPHENO_0074592
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0003534	http://purl.obolibrary.org/obo/UPHENO_0074593
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0001621	http://purl.obolibrary.org/obo/UPHENO_0084478
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001869	http://purl.obolibrary.org/obo/UPHENO_0081738
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/CL_0002309	http://purl.obolibrary.org/obo/UPHENO_0080032
