biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0085030	http://purl.obolibrary.org/obo/UPHENO_0080959
http://purl.obolibrary.org/obo/GO_0000045	http://purl.obolibrary.org/obo/UPHENO_0080960
http://purl.obolibrary.org/obo/GO_0044409	http://purl.obolibrary.org/obo/UPHENO_0080961
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0034024
http://purl.obolibrary.org/obo/GO_0075053	http://purl.obolibrary.org/obo/UPHENO_0080962
http://purl.obolibrary.org/obo/GO_0008104	http://purl.obolibrary.org/obo/UPHENO_0034055
http://purl.obolibrary.org/obo/GO_0034504	http://purl.obolibrary.org/obo/UPHENO_0080963
http://purl.obolibrary.org/obo/GO_0009306	http://purl.obolibrary.org/obo/UPHENO_0080964
http://purl.obolibrary.org/obo/GO_0106259	http://purl.obolibrary.org/obo/UPHENO_0080965
http://purl.obolibrary.org/obo/GO_0044114	http://purl.obolibrary.org/obo/UPHENO_0080966
