biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0006810	http://purl.obolibrary.org/obo/UPHENO_0049724
http://purl.obolibrary.org/obo/GO_0006897	http://purl.obolibrary.org/obo/UPHENO_0049592
http://purl.obolibrary.org/obo/GO_0007127	http://purl.obolibrary.org/obo/UPHENO_0080620
http://purl.obolibrary.org/obo/GO_0051169	http://purl.obolibrary.org/obo/UPHENO_0049948
http://purl.obolibrary.org/obo/GO_0034504	http://purl.obolibrary.org/obo/UPHENO_0050434
http://purl.obolibrary.org/obo/GO_0044237	http://purl.obolibrary.org/obo/UPHENO_0050113
http://purl.obolibrary.org/obo/GO_0034301	http://purl.obolibrary.org/obo/UPHENO_0080621
http://purl.obolibrary.org/obo/GO_0140013	http://purl.obolibrary.org/obo/UPHENO_0078724
http://purl.obolibrary.org/obo/GO_0085030	http://purl.obolibrary.org/obo/UPHENO_0078725
http://purl.obolibrary.org/obo/GO_0009403	http://purl.obolibrary.org/obo/UPHENO_0078723
http://purl.obolibrary.org/obo/GO_0022607	http://purl.obolibrary.org/obo/UPHENO_0050001
http://purl.obolibrary.org/obo/GO_0009987	http://purl.obolibrary.org/obo/UPHENO_0050121
http://purl.obolibrary.org/obo/GO_0071555	http://purl.obolibrary.org/obo/UPHENO_0078727
http://purl.obolibrary.org/obo/GO_0009626	http://purl.obolibrary.org/obo/UPHENO_0080622
http://purl.obolibrary.org/obo/GO_0030436	http://purl.obolibrary.org/obo/UPHENO_0078720
http://purl.obolibrary.org/obo/GO_0031503	http://purl.obolibrary.org/obo/UPHENO_0049649
http://purl.obolibrary.org/obo/GO_0006403	http://purl.obolibrary.org/obo/UPHENO_0050218
http://purl.obolibrary.org/obo/GO_0006468	http://purl.obolibrary.org/obo/UPHENO_0050125
http://purl.obolibrary.org/obo/GO_0000003	http://purl.obolibrary.org/obo/UPHENO_0051030
http://purl.obolibrary.org/obo/GO_0051179	http://purl.obolibrary.org/obo/UPHENO_0049927
http://purl.obolibrary.org/obo/GO_0007034	http://purl.obolibrary.org/obo/UPHENO_0078721
http://purl.obolibrary.org/obo/GO_1903046	http://purl.obolibrary.org/obo/UPHENO_0049929
http://purl.obolibrary.org/obo/GO_0008104	http://purl.obolibrary.org/obo/UPHENO_0049934
http://purl.obolibrary.org/obo/GO_0043476	http://purl.obolibrary.org/obo/UPHENO_0050473
http://purl.obolibrary.org/obo/GO_0007135	http://purl.obolibrary.org/obo/UPHENO_0080623
http://purl.obolibrary.org/obo/GO_0019954	http://purl.obolibrary.org/obo/UPHENO_0078722
http://purl.obolibrary.org/obo/GO_0019953	http://purl.obolibrary.org/obo/UPHENO_0050911
http://purl.obolibrary.org/obo/GO_0036211	http://purl.obolibrary.org/obo/UPHENO_0049744
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0049587
http://purl.obolibrary.org/obo/GO_0034293	http://purl.obolibrary.org/obo/UPHENO_0080624
http://purl.obolibrary.org/obo/GO_0016043	http://purl.obolibrary.org/obo/UPHENO_0050021
http://purl.obolibrary.org/obo/GO_0015031	http://purl.obolibrary.org/obo/UPHENO_0050102
