biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0043050	http://purl.obolibrary.org/obo/UPHENO_0034085
http://purl.obolibrary.org/obo/GO_0051301	http://purl.obolibrary.org/obo/UPHENO_0034038
http://purl.obolibrary.org/obo/GO_0042073	http://purl.obolibrary.org/obo/UPHENO_0034040
http://purl.obolibrary.org/obo/GO_0043054	http://purl.obolibrary.org/obo/UPHENO_0034087
http://purl.obolibrary.org/obo/GO_0043057	http://purl.obolibrary.org/obo/UPHENO_0034089
http://purl.obolibrary.org/obo/GO_0016477	http://purl.obolibrary.org/obo/UPHENO_0034078
http://purl.obolibrary.org/obo/GO_0035882	http://purl.obolibrary.org/obo/UPHENO_0034061
http://purl.obolibrary.org/obo/GO_0035188	http://purl.obolibrary.org/obo/UPHENO_0034094
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0034024
http://purl.obolibrary.org/obo/GO_0030261	http://purl.obolibrary.org/obo/UPHENO_0034045
http://purl.obolibrary.org/obo/GO_0022618	http://purl.obolibrary.org/obo/UPHENO_0034068
http://purl.obolibrary.org/obo/GO_0006915	http://purl.obolibrary.org/obo/UPHENO_0034080
http://purl.obolibrary.org/obo/GO_0030590	http://purl.obolibrary.org/obo/UPHENO_0034070
