biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0007634	http://purl.obolibrary.org/obo/UPHENO_0078490
http://purl.obolibrary.org/obo/GO_0007617	http://purl.obolibrary.org/obo/UPHENO_0078491
http://purl.obolibrary.org/obo/GO_0048266	http://purl.obolibrary.org/obo/UPHENO_0078492
http://purl.obolibrary.org/obo/GO_0007626	http://purl.obolibrary.org/obo/UPHENO_0078493
http://purl.obolibrary.org/obo/GO_0007638	http://purl.obolibrary.org/obo/UPHENO_0078494
http://purl.obolibrary.org/obo/GO_0008286	http://purl.obolibrary.org/obo/UPHENO_0078495
http://purl.obolibrary.org/obo/GO_0007631	http://purl.obolibrary.org/obo/UPHENO_0034090
http://purl.obolibrary.org/obo/GO_0007610	http://purl.obolibrary.org/obo/UPHENO_0034056
http://purl.obolibrary.org/obo/GO_0007632	http://purl.obolibrary.org/obo/UPHENO_0078496
http://purl.obolibrary.org/obo/GO_0007552	http://purl.obolibrary.org/obo/UPHENO_0080958
http://purl.obolibrary.org/obo/GO_0042048	http://purl.obolibrary.org/obo/UPHENO_0078497
http://purl.obolibrary.org/obo/GO_0071625	http://purl.obolibrary.org/obo/UPHENO_0078498
http://purl.obolibrary.org/obo/GO_0036269	http://purl.obolibrary.org/obo/UPHENO_0078499
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0034024
http://purl.obolibrary.org/obo/GO_0007619	http://purl.obolibrary.org/obo/UPHENO_0078500
http://purl.obolibrary.org/obo/GO_0035187	http://purl.obolibrary.org/obo/UPHENO_0078501
http://purl.obolibrary.org/obo/GO_0035176	http://purl.obolibrary.org/obo/UPHENO_0078502
