biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0006777	http://purl.obolibrary.org/obo/UPHENO_0005676
http://purl.obolibrary.org/obo/GO_0032402	http://purl.obolibrary.org/obo/UPHENO_0005850
http://purl.obolibrary.org/obo/GO_0000278	http://purl.obolibrary.org/obo/UPHENO_0005851
http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/UPHENO_0005852
http://purl.obolibrary.org/obo/GO_1990266	http://purl.obolibrary.org/obo/UPHENO_0086170
http://purl.obolibrary.org/obo/GO_0051301	http://purl.obolibrary.org/obo/UPHENO_0005655
http://purl.obolibrary.org/obo/GO_0006096	http://purl.obolibrary.org/obo/UPHENO_0005680
http://purl.obolibrary.org/obo/GO_0007586	http://purl.obolibrary.org/obo/UPHENO_0005857
http://purl.obolibrary.org/obo/GO_0061337	http://purl.obolibrary.org/obo/UPHENO_0005858
http://purl.obolibrary.org/obo/GO_0008283	http://purl.obolibrary.org/obo/UPHENO_0005415
http://purl.obolibrary.org/obo/GO_0030182	http://purl.obolibrary.org/obo/UPHENO_0005684
http://purl.obolibrary.org/obo/GO_0035630	http://purl.obolibrary.org/obo/UPHENO_0080291
http://purl.obolibrary.org/obo/GO_0001889	http://purl.obolibrary.org/obo/UPHENO_0005416
http://purl.obolibrary.org/obo/GO_0048920	http://purl.obolibrary.org/obo/UPHENO_0005865
http://purl.obolibrary.org/obo/GO_0048922	http://purl.obolibrary.org/obo/UPHENO_0005867
http://purl.obolibrary.org/obo/GO_0001755	http://purl.obolibrary.org/obo/UPHENO_0005692
http://purl.obolibrary.org/obo/GO_0072592	http://purl.obolibrary.org/obo/UPHENO_0005868
http://purl.obolibrary.org/obo/GO_0003094	http://purl.obolibrary.org/obo/UPHENO_0005549
http://purl.obolibrary.org/obo/GO_0006120	http://purl.obolibrary.org/obo/UPHENO_0005871
http://purl.obolibrary.org/obo/GO_0002164	http://purl.obolibrary.org/obo/UPHENO_0088484
http://purl.obolibrary.org/obo/GO_0006122	http://purl.obolibrary.org/obo/UPHENO_0005873
http://purl.obolibrary.org/obo/GO_0010463	http://purl.obolibrary.org/obo/UPHENO_0005706
http://purl.obolibrary.org/obo/GO_0040007	http://purl.obolibrary.org/obo/UPHENO_0005431
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0005433
http://purl.obolibrary.org/obo/GO_0030593	http://purl.obolibrary.org/obo/UPHENO_0076904
http://purl.obolibrary.org/obo/GO_0071425	http://purl.obolibrary.org/obo/UPHENO_0005708
http://purl.obolibrary.org/obo/GO_0031443	http://purl.obolibrary.org/obo/UPHENO_0005881
http://purl.obolibrary.org/obo/GO_0006954	http://purl.obolibrary.org/obo/UPHENO_0076905
