biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0003266	http://purl.obolibrary.org/obo/UPHENO_0089986
http://purl.obolibrary.org/obo/GO_0032526	http://purl.obolibrary.org/obo/UPHENO_0080663
http://purl.obolibrary.org/obo/GO_0007501	http://purl.obolibrary.org/obo/UPHENO_0080664
http://purl.obolibrary.org/obo/GO_0001885	http://purl.obolibrary.org/obo/UPHENO_0089987
http://purl.obolibrary.org/obo/GO_0006814	http://purl.obolibrary.org/obo/UPHENO_0080665
http://purl.obolibrary.org/obo/GO_0007626	http://purl.obolibrary.org/obo/UPHENO_0080666
http://purl.obolibrary.org/obo/GO_0048010	http://purl.obolibrary.org/obo/UPHENO_0080667
http://purl.obolibrary.org/obo/GO_0030509	http://purl.obolibrary.org/obo/UPHENO_0080668
http://purl.obolibrary.org/obo/GO_0061298	http://purl.obolibrary.org/obo/UPHENO_0080669
http://purl.obolibrary.org/obo/GO_0006096	http://purl.obolibrary.org/obo/UPHENO_0080670
http://purl.obolibrary.org/obo/GO_0040011	http://purl.obolibrary.org/obo/UPHENO_0080671
http://purl.obolibrary.org/obo/GO_0007224	http://purl.obolibrary.org/obo/UPHENO_0080672
http://purl.obolibrary.org/obo/GO_0042552	http://purl.obolibrary.org/obo/UPHENO_0080673
http://purl.obolibrary.org/obo/GO_0040010	http://purl.obolibrary.org/obo/UPHENO_0080674
http://purl.obolibrary.org/obo/GO_0043400	http://purl.obolibrary.org/obo/UPHENO_0080675
http://purl.obolibrary.org/obo/GO_0035914	http://purl.obolibrary.org/obo/UPHENO_0089988
http://purl.obolibrary.org/obo/GO_0098719	http://purl.obolibrary.org/obo/UPHENO_0080676
http://purl.obolibrary.org/obo/GO_0019722	http://purl.obolibrary.org/obo/UPHENO_0084778
http://purl.obolibrary.org/obo/GO_0006260	http://purl.obolibrary.org/obo/UPHENO_0084779
http://purl.obolibrary.org/obo/GO_0008283	http://purl.obolibrary.org/obo/UPHENO_0080677
http://purl.obolibrary.org/obo/GO_0042438	http://purl.obolibrary.org/obo/UPHENO_0080678
http://purl.obolibrary.org/obo/GO_0030182	http://purl.obolibrary.org/obo/UPHENO_0083260
http://purl.obolibrary.org/obo/GO_0035994	http://purl.obolibrary.org/obo/UPHENO_0080679
http://purl.obolibrary.org/obo/GO_0001525	http://purl.obolibrary.org/obo/UPHENO_0080680
http://purl.obolibrary.org/obo/GO_0003309	http://purl.obolibrary.org/obo/UPHENO_0080681
http://purl.obolibrary.org/obo/GO_0090398	http://purl.obolibrary.org/obo/UPHENO_0080682
http://purl.obolibrary.org/obo/GO_0016055	http://purl.obolibrary.org/obo/UPHENO_0080683
http://purl.obolibrary.org/obo/GO_0009646	http://purl.obolibrary.org/obo/UPHENO_0080684
http://purl.obolibrary.org/obo/GO_0030238	http://purl.obolibrary.org/obo/UPHENO_0080685
http://purl.obolibrary.org/obo/GO_0030237	http://purl.obolibrary.org/obo/UPHENO_0080686
http://purl.obolibrary.org/obo/GO_1903409	http://purl.obolibrary.org/obo/UPHENO_0080687
http://purl.obolibrary.org/obo/GO_0021522	http://purl.obolibrary.org/obo/UPHENO_0080688
http://purl.obolibrary.org/obo/GO_0007219	http://purl.obolibrary.org/obo/UPHENO_0080689
http://purl.obolibrary.org/obo/GO_0072592	http://purl.obolibrary.org/obo/UPHENO_0089989
http://purl.obolibrary.org/obo/GO_0046466	http://purl.obolibrary.org/obo/UPHENO_0089990
http://purl.obolibrary.org/obo/GO_1901222	http://purl.obolibrary.org/obo/UPHENO_0089991
http://purl.obolibrary.org/obo/GO_0000380	http://purl.obolibrary.org/obo/UPHENO_0083261
http://purl.obolibrary.org/obo/GO_0002040	http://purl.obolibrary.org/obo/UPHENO_0080690
http://purl.obolibrary.org/obo/GO_0002281	http://purl.obolibrary.org/obo/UPHENO_0083262
http://purl.obolibrary.org/obo/GO_0080135	http://purl.obolibrary.org/obo/UPHENO_0080691
