biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0038092	http://purl.obolibrary.org/obo/UPHENO_0049500
http://purl.obolibrary.org/obo/GO_0006413	http://purl.obolibrary.org/obo/UPHENO_0049472
http://purl.obolibrary.org/obo/GO_0001541	http://purl.obolibrary.org/obo/UPHENO_0049501
http://purl.obolibrary.org/obo/GO_0003006	http://purl.obolibrary.org/obo/UPHENO_0049451
http://purl.obolibrary.org/obo/GO_0048232	http://purl.obolibrary.org/obo/UPHENO_0049502
http://purl.obolibrary.org/obo/GO_0001964	http://purl.obolibrary.org/obo/UPHENO_0089370
http://purl.obolibrary.org/obo/GO_0006396	http://purl.obolibrary.org/obo/UPHENO_0049504
http://purl.obolibrary.org/obo/GO_0008354	http://purl.obolibrary.org/obo/UPHENO_0049525
http://purl.obolibrary.org/obo/GO_0061053	http://purl.obolibrary.org/obo/UPHENO_0049474
http://purl.obolibrary.org/obo/GO_0009790	http://purl.obolibrary.org/obo/UPHENO_0049506
http://purl.obolibrary.org/obo/GO_0042552	http://purl.obolibrary.org/obo/UPHENO_0049476
http://purl.obolibrary.org/obo/GO_0050936	http://purl.obolibrary.org/obo/UPHENO_0049528
http://purl.obolibrary.org/obo/GO_0030182	http://purl.obolibrary.org/obo/UPHENO_0049479
http://purl.obolibrary.org/obo/GO_0035476	http://purl.obolibrary.org/obo/UPHENO_0049481
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UPHENO_0049441
http://purl.obolibrary.org/obo/GO_0003309	http://purl.obolibrary.org/obo/UPHENO_0049483
http://purl.obolibrary.org/obo/GO_0048922	http://purl.obolibrary.org/obo/UPHENO_0049485
http://purl.obolibrary.org/obo/GO_0003415	http://purl.obolibrary.org/obo/UPHENO_0049486
http://purl.obolibrary.org/obo/GO_0048885	http://purl.obolibrary.org/obo/UPHENO_0049487
http://purl.obolibrary.org/obo/GO_0030316	http://purl.obolibrary.org/obo/UPHENO_0049533
http://purl.obolibrary.org/obo/GO_0043010	http://purl.obolibrary.org/obo/UPHENO_0049556
http://purl.obolibrary.org/obo/GO_0002040	http://purl.obolibrary.org/obo/UPHENO_0049489
http://purl.obolibrary.org/obo/GO_0048669	http://purl.obolibrary.org/obo/UPHENO_0049558
http://purl.obolibrary.org/obo/GO_0002063	http://purl.obolibrary.org/obo/UPHENO_0049517
http://purl.obolibrary.org/obo/GO_0060612	http://purl.obolibrary.org/obo/UPHENO_0049537
http://purl.obolibrary.org/obo/GO_0035188	http://purl.obolibrary.org/obo/UPHENO_0049563
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0049440
http://purl.obolibrary.org/obo/GO_0055010	http://purl.obolibrary.org/obo/UPHENO_0049540
http://purl.obolibrary.org/obo/GO_1990636	http://purl.obolibrary.org/obo/UPHENO_0083017
http://purl.obolibrary.org/obo/GO_0001958	http://purl.obolibrary.org/obo/UPHENO_0049445
