s,lab,ldef
http://purl.obolibrary.org/obo/DDPHENO_0010000,Dicty Phenotypes,
http://purl.obolibrary.org/obo/DDPHENO_0001008,aberrant cellular process,
http://purl.obolibrary.org/obo/DDPHENO_0001118,aberrant signal transduction,
http://purl.obolibrary.org/obo/DDPHENO_0001433,aberrant gamma-aminobutyric acid signaling pathway,
http://purl.obolibrary.org/obo/DDPHENO_0001303,aberrant regulation of catalytic activity,
http://purl.obolibrary.org/obo/DDPHENO_0001137,aberrant regulation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001311,aberrant activation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0000345,increased activation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0000344,decreased activation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0000343,abolished activation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001138,decreased positive regulation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001139,increased positive regulation of GTPase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001304,aberrant regulation of adenylate cyclase activity,
http://purl.obolibrary.org/obo/DDPHENO_0000198,aberrant activation of adenylate cyclase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001133,abolished activation of adenylate cyclase,
http://purl.obolibrary.org/obo/DDPHENO_0001132,decreased activation of adenylate cyclase,
http://purl.obolibrary.org/obo/DDPHENO_0001134,increased activation of adenylate cyclase,
http://purl.obolibrary.org/obo/DDPHENO_0001119,aberrant regulation of protein kinase activity,
http://purl.obolibrary.org/obo/DDPHENO_0001062,abolished protein kinase activation,
http://purl.obolibrary.org/obo/DDPHENO_0001058,decreased protein kinase activation,
http://purl.obolibrary.org/obo/DDPHENO_0001061,increased protein kinase activation,
http://purl.obolibrary.org/obo/DDPHENO_0000349,aberrant Ca2+ signaling,
http://purl.obolibrary.org/obo/DDPHENO_0000489,increased cytosolic Ca2+ response,
http://purl.obolibrary.org/obo/DDPHENO_0000422,decreased Ca2+-induced Ca2+ influx,
http://purl.obolibrary.org/obo/DDPHENO_0000420,decreased cAMP-induced Ca2+ influx,
