s,lab,ldef
http://purl.obolibrary.org/obo/FYPO_0000001,phenotype,
http://purl.obolibrary.org/obo/FYPO_0000257,normal phenotype,
http://purl.obolibrary.org/obo/FYPO_0007170,normal number of nuclei in ascus,
http://purl.obolibrary.org/obo/FYPO_0005680,normal number of Rad52 foci during mitotic S phase,
http://purl.obolibrary.org/obo/FYPO_0004720,normal viability following cellular response to heat shock,
http://purl.obolibrary.org/obo/FYPO_0001076,normal level of substance in cell,
http://purl.obolibrary.org/obo/FYPO_0001316,normal level of substance in cell during vegetative growth,
http://purl.obolibrary.org/obo/FYPO_0001317,normal RNA level during vegetative growth,
http://purl.obolibrary.org/obo/FYPO_0003772,normal transposon gene mRNA level,
http://purl.obolibrary.org/obo/FYPO_0005655,normal level of iron assimilation gene mRNA during vegetative growth,
http://purl.obolibrary.org/obo/FYPO_0001246,normal RNA level during cellular response to hydrogen peroxide,
http://purl.obolibrary.org/obo/FYPO_0002567,normal centromeric outer repeat transcript level,
http://purl.obolibrary.org/obo/FYPO_0002837,normal centromeric outer repeat transcript-derived siRNA level,
http://purl.obolibrary.org/obo/FYPO_0004417,normal RNA level during cellular response to phosphate starvation,
http://purl.obolibrary.org/obo/FYPO_0006829,normal RNA level during cellular response to zinc ion starvation,
http://purl.obolibrary.org/obo/FYPO_0006202,normal RNA level during cellular response to hydroxyurea,
http://purl.obolibrary.org/obo/FYPO_0004579,normal transposable element-derived small RNA level,
http://purl.obolibrary.org/obo/FYPO_0006000,normal rRNA or precursor level,
http://purl.obolibrary.org/obo/FYPO_0004682,normal polyadenylated 5S rRNA level,
http://purl.obolibrary.org/obo/FYPO_0003399,normal 27S rRNA precursor level,
http://purl.obolibrary.org/obo/FYPO_0007013,normal mature 5S rRNA level,
http://purl.obolibrary.org/obo/FYPO_0007014,normal mature 5.8S rRNA level,
http://purl.obolibrary.org/obo/FYPO_0001134,normal mature 18S rRNA level,
http://purl.obolibrary.org/obo/FYPO_0004680,normal polyadenylated 5.8S rRNA level,
