cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0079505
http://purl.obolibrary.org/obo/GO_0001917	http://purl.obolibrary.org/obo/UPHENO_0079511
http://purl.obolibrary.org/obo/GO_0030424	http://purl.obolibrary.org/obo/UPHENO_0079524
http://purl.obolibrary.org/obo/GO_0001750	http://purl.obolibrary.org/obo/UPHENO_0079509
http://purl.obolibrary.org/obo/CL_0000604	http://purl.obolibrary.org/obo/UPHENO_0079500
http://purl.obolibrary.org/obo/CL_0000846	http://purl.obolibrary.org/obo/UPHENO_0079501
http://purl.obolibrary.org/obo/CL_0002608	http://purl.obolibrary.org/obo/UPHENO_0079502
http://purl.obolibrary.org/obo/CL_0000589	http://purl.obolibrary.org/obo/UPHENO_0079503
http://purl.obolibrary.org/obo/CL_0002669	http://purl.obolibrary.org/obo/UPHENO_0079504
http://purl.obolibrary.org/obo/CL_0000601	http://purl.obolibrary.org/obo/UPHENO_0079506
http://purl.obolibrary.org/obo/CL_0002668	http://purl.obolibrary.org/obo/UPHENO_0079507
http://purl.obolibrary.org/obo/CL_0000746	http://purl.obolibrary.org/obo/UPHENO_0079508
http://purl.obolibrary.org/obo/CL_0000609	http://purl.obolibrary.org/obo/UPHENO_0079510
http://purl.obolibrary.org/obo/CL_1000191	http://purl.obolibrary.org/obo/UPHENO_0079512
http://purl.obolibrary.org/obo/CL_0000740	http://purl.obolibrary.org/obo/UPHENO_0079513
http://purl.obolibrary.org/obo/CL_0000202	http://purl.obolibrary.org/obo/UPHENO_0079514
http://purl.obolibrary.org/obo/CL_0002666	http://purl.obolibrary.org/obo/UPHENO_0079515
http://purl.obolibrary.org/obo/CL_0000561	http://purl.obolibrary.org/obo/UPHENO_0079517
http://purl.obolibrary.org/obo/CL_0000100	http://purl.obolibrary.org/obo/UPHENO_0079518
http://purl.obolibrary.org/obo/CL_0000540	http://purl.obolibrary.org/obo/UPHENO_0079519
http://purl.obolibrary.org/obo/CL_0000023	http://purl.obolibrary.org/obo/UPHENO_0079520
http://purl.obolibrary.org/obo/CL_0000287	http://purl.obolibrary.org/obo/UPHENO_0079521
http://purl.obolibrary.org/obo/CL_0000188	http://purl.obolibrary.org/obo/UPHENO_0079522
http://purl.obolibrary.org/obo/CL_0002670	http://purl.obolibrary.org/obo/UPHENO_0079525
http://purl.obolibrary.org/obo/CL_0002490	http://purl.obolibrary.org/obo/UPHENO_0079526
http://purl.obolibrary.org/obo/CL_0000059	http://purl.obolibrary.org/obo/UPHENO_0079527
http://purl.obolibrary.org/obo/CL_0000650	http://purl.obolibrary.org/obo/UPHENO_0079528
http://purl.obolibrary.org/obo/CL_0000573	http://purl.obolibrary.org/obo/UPHENO_0079529
http://purl.obolibrary.org/obo/CL_0007011	http://purl.obolibrary.org/obo/UPHENO_0079530
