anatomical_entity	defined_class
http://purl.obolibrary.org/obo/CL_0000681	http://purl.obolibrary.org/obo/UPHENO_0085224
http://purl.obolibrary.org/obo/CL_0002066	http://purl.obolibrary.org/obo/UPHENO_0085225
http://purl.obolibrary.org/obo/CL_0000561	http://purl.obolibrary.org/obo/UPHENO_0085226
http://purl.obolibrary.org/obo/CL_0000442	http://purl.obolibrary.org/obo/UPHENO_0085227
http://purl.obolibrary.org/obo/CL_0000202	http://purl.obolibrary.org/obo/UPHENO_0085228
http://purl.obolibrary.org/obo/UBERON_0003655	http://purl.obolibrary.org/obo/UPHENO_0063709
http://purl.obolibrary.org/obo/UBERON_0001231	http://purl.obolibrary.org/obo/UPHENO_0063710
http://purl.obolibrary.org/obo/CL_0002063	http://purl.obolibrary.org/obo/UPHENO_0085229
http://purl.obolibrary.org/obo/CL_0002062	http://purl.obolibrary.org/obo/UPHENO_0085230
http://purl.obolibrary.org/obo/CL_0002064	http://purl.obolibrary.org/obo/UPHENO_0085231
http://purl.obolibrary.org/obo/UBERON_0001348	http://purl.obolibrary.org/obo/UPHENO_0063714
http://purl.obolibrary.org/obo/CL_0000448	http://purl.obolibrary.org/obo/UPHENO_0085232
http://purl.obolibrary.org/obo/CL_0000449	http://purl.obolibrary.org/obo/UPHENO_0085233
http://purl.obolibrary.org/obo/CL_0000207	http://purl.obolibrary.org/obo/UPHENO_0085234
http://purl.obolibrary.org/obo/CL_0000451	http://purl.obolibrary.org/obo/UPHENO_0085235
http://purl.obolibrary.org/obo/CL_0000573	http://purl.obolibrary.org/obo/UPHENO_0085236
http://purl.obolibrary.org/obo/CL_0000695	http://purl.obolibrary.org/obo/UPHENO_0085237
http://purl.obolibrary.org/obo/CL_0000453	http://purl.obolibrary.org/obo/UPHENO_0085238
http://purl.obolibrary.org/obo/CL_0000696	http://purl.obolibrary.org/obo/UPHENO_0085239
http://purl.obolibrary.org/obo/GO_0031091	http://purl.obolibrary.org/obo/UPHENO_0089846
http://purl.obolibrary.org/obo/CL_0000576	http://purl.obolibrary.org/obo/UPHENO_0085240
http://purl.obolibrary.org/obo/GO_0097208	http://purl.obolibrary.org/obo/UPHENO_0089847
http://purl.obolibrary.org/obo/UBERON_0001347	http://purl.obolibrary.org/obo/UPHENO_0063727
http://purl.obolibrary.org/obo/UBERON_0000006	http://purl.obolibrary.org/obo/UPHENO_0063733
http://purl.obolibrary.org/obo/CL_0000216	http://purl.obolibrary.org/obo/UPHENO_0085241
http://purl.obolibrary.org/obo/CL_0002638	http://purl.obolibrary.org/obo/UPHENO_0085242
http://purl.obolibrary.org/obo/CL_0000218	http://purl.obolibrary.org/obo/UPHENO_0085243
http://purl.obolibrary.org/obo/CL_0002046	http://purl.obolibrary.org/obo/UPHENO_0089848
http://purl.obolibrary.org/obo/CL_0000782	http://purl.obolibrary.org/obo/UPHENO_0085244
http://purl.obolibrary.org/obo/CL_0000540	http://purl.obolibrary.org/obo/UPHENO_0085245
http://purl.obolibrary.org/obo/CL_0002048	http://purl.obolibrary.org/obo/UPHENO_0089849
http://purl.obolibrary.org/obo/CL_0000542	http://purl.obolibrary.org/obo/UPHENO_0085246
http://purl.obolibrary.org/obo/CL_0000784	http://purl.obolibrary.org/obo/UPHENO_0085247
http://purl.obolibrary.org/obo/CL_0000785	http://purl.obolibrary.org/obo/UPHENO_0085248
http://purl.obolibrary.org/obo/CL_0000786	http://purl.obolibrary.org/obo/UPHENO_0085249
http://purl.obolibrary.org/obo/UBERON_0001213	http://purl.obolibrary.org/obo/UPHENO_0063747
http://purl.obolibrary.org/obo/UBERON_0001211	http://purl.obolibrary.org/obo/UPHENO_0063754
http://purl.obolibrary.org/obo/UBERON_0001448	http://purl.obolibrary.org/obo/UPHENO_0063759
http://purl.obolibrary.org/obo/CL_0000545	http://purl.obolibrary.org/obo/UPHENO_0085250
http://purl.obolibrary.org/obo/CL_0000787	http://purl.obolibrary.org/obo/UPHENO_0085251
http://purl.obolibrary.org/obo/CL_0000546	http://purl.obolibrary.org/obo/UPHENO_0085252
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/UPHENO_0085253
http://purl.obolibrary.org/obo/CL_0000789	http://purl.obolibrary.org/obo/UPHENO_0085254
http://purl.obolibrary.org/obo/CL_0000670	http://purl.obolibrary.org/obo/UPHENO_0085255
http://purl.obolibrary.org/obo/CL_0000792	http://purl.obolibrary.org/obo/UPHENO_0085256
http://purl.obolibrary.org/obo/CL_0000553	http://purl.obolibrary.org/obo/UPHENO_0085257
http://purl.obolibrary.org/obo/UBERON_0002412	http://purl.obolibrary.org/obo/UPHENO_0063766
http://purl.obolibrary.org/obo/UBERON_0002414	http://purl.obolibrary.org/obo/UPHENO_0063769
http://purl.obolibrary.org/obo/UBERON_0002413	http://purl.obolibrary.org/obo/UPHENO_0063772
http://purl.obolibrary.org/obo/UBERON_0003982	http://purl.obolibrary.org/obo/UPHENO_0063773
http://purl.obolibrary.org/obo/UBERON_0003981	http://purl.obolibrary.org/obo/UPHENO_0063782
http://purl.obolibrary.org/obo/UBERON_0000347	http://purl.obolibrary.org/obo/UPHENO_0063785
http://purl.obolibrary.org/obo/CL_0000798	http://purl.obolibrary.org/obo/UPHENO_0085258
http://purl.obolibrary.org/obo/CL_0000556	http://purl.obolibrary.org/obo/UPHENO_0085259
http://purl.obolibrary.org/obo/CL_0000557	http://purl.obolibrary.org/obo/UPHENO_0085260
http://purl.obolibrary.org/obo/CL_1000428	http://purl.obolibrary.org/obo/UPHENO_0085261
http://purl.obolibrary.org/obo/CL_0000437	http://purl.obolibrary.org/obo/UPHENO_0085262
http://purl.obolibrary.org/obo/CL_0000558	http://purl.obolibrary.org/obo/UPHENO_0085263
http://purl.obolibrary.org/obo/CL_2000084	http://purl.obolibrary.org/obo/UPHENO_0085264
http://purl.obolibrary.org/obo/CL_0000120	http://purl.obolibrary.org/obo/UPHENO_0085265
http://purl.obolibrary.org/obo/CL_0000121	http://purl.obolibrary.org/obo/UPHENO_0085266
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0089850
http://purl.obolibrary.org/obo/CL_0000809	http://purl.obolibrary.org/obo/UPHENO_0085267
http://purl.obolibrary.org/obo/UBERON_0003604	http://purl.obolibrary.org/obo/UPHENO_0063809
http://purl.obolibrary.org/obo/CL_0000128	http://purl.obolibrary.org/obo/UPHENO_0085268
http://purl.obolibrary.org/obo/CL_0000800	http://purl.obolibrary.org/obo/UPHENO_0085269
http://purl.obolibrary.org/obo/CL_0000801	http://purl.obolibrary.org/obo/UPHENO_0085270
http://purl.obolibrary.org/obo/CL_0000802	http://purl.obolibrary.org/obo/UPHENO_0085271
http://purl.obolibrary.org/obo/CL_0000803	http://purl.obolibrary.org/obo/UPHENO_0085272
http://purl.obolibrary.org/obo/UBERON_0002073	http://purl.obolibrary.org/obo/UPHENO_0063811
http://purl.obolibrary.org/obo/CL_0005026	http://purl.obolibrary.org/obo/UPHENO_0085273
http://purl.obolibrary.org/obo/UBERON_0002190	http://purl.obolibrary.org/obo/UPHENO_0089851
http://purl.obolibrary.org/obo/CL_0000015	http://purl.obolibrary.org/obo/UPHENO_0085274
http://purl.obolibrary.org/obo/CL_0000137	http://purl.obolibrary.org/obo/UPHENO_0085275
http://purl.obolibrary.org/obo/UBERON_0002512	http://purl.obolibrary.org/obo/UPHENO_0085276
http://purl.obolibrary.org/obo/UBERON_0003719	http://purl.obolibrary.org/obo/UPHENO_0076673
http://purl.obolibrary.org/obo/CL_0000817	http://purl.obolibrary.org/obo/UPHENO_0085277
http://purl.obolibrary.org/obo/CL_0000818	http://purl.obolibrary.org/obo/UPHENO_0085278
http://purl.obolibrary.org/obo/CL_0000819	http://purl.obolibrary.org/obo/UPHENO_0085279
http://purl.obolibrary.org/obo/UBERON_0003718	http://purl.obolibrary.org/obo/UPHENO_0076674
http://purl.obolibrary.org/obo/CL_0000138	http://purl.obolibrary.org/obo/UPHENO_0085280
http://purl.obolibrary.org/obo/CL_0000019	http://purl.obolibrary.org/obo/UPHENO_0085281
http://purl.obolibrary.org/obo/CL_0000813	http://purl.obolibrary.org/obo/UPHENO_0085282
http://purl.obolibrary.org/obo/CL_0000814	http://purl.obolibrary.org/obo/UPHENO_0085283
http://purl.obolibrary.org/obo/CL_1000326	http://purl.obolibrary.org/obo/UPHENO_0085284
http://purl.obolibrary.org/obo/CL_0000815	http://purl.obolibrary.org/obo/UPHENO_0085285
http://purl.obolibrary.org/obo/CL_0000816	http://purl.obolibrary.org/obo/UPHENO_0085286
http://purl.obolibrary.org/obo/UBERON_0001095	http://purl.obolibrary.org/obo/UPHENO_0085287
http://purl.obolibrary.org/obo/UBERON_0001094	http://purl.obolibrary.org/obo/UPHENO_0063835
http://purl.obolibrary.org/obo/CL_0000583	http://purl.obolibrary.org/obo/UPHENO_0085288
http://purl.obolibrary.org/obo/CL_0000584	http://purl.obolibrary.org/obo/UPHENO_0085289
http://purl.obolibrary.org/obo/CL_0000100	http://purl.obolibrary.org/obo/UPHENO_0085290
http://purl.obolibrary.org/obo/CL_0000101	http://purl.obolibrary.org/obo/UPHENO_0085291
http://purl.obolibrary.org/obo/UBERON_0001091	http://purl.obolibrary.org/obo/UPHENO_0063844
http://purl.obolibrary.org/obo/CL_0000586	http://purl.obolibrary.org/obo/UPHENO_0085292
http://purl.obolibrary.org/obo/CL_0000467	http://purl.obolibrary.org/obo/UPHENO_0085293
http://purl.obolibrary.org/obo/UBERON_0001098	http://purl.obolibrary.org/obo/UPHENO_0063853
http://purl.obolibrary.org/obo/GO_0042827	http://purl.obolibrary.org/obo/UPHENO_0089852
http://purl.obolibrary.org/obo/CL_0000905	http://purl.obolibrary.org/obo/UPHENO_0085294
http://purl.obolibrary.org/obo/CL_0000907	http://purl.obolibrary.org/obo/UPHENO_0085295
http://purl.obolibrary.org/obo/CL_0000909	http://purl.obolibrary.org/obo/UPHENO_0085296
http://purl.obolibrary.org/obo/CL_0000589	http://purl.obolibrary.org/obo/UPHENO_0085297
http://purl.obolibrary.org/obo/CL_0000900	http://purl.obolibrary.org/obo/UPHENO_0085298
http://purl.obolibrary.org/obo/CL_0000904	http://purl.obolibrary.org/obo/UPHENO_0085299
http://purl.obolibrary.org/obo/UBERON_0010002	http://purl.obolibrary.org/obo/UPHENO_0063869
http://purl.obolibrary.org/obo/CL_0000594	http://purl.obolibrary.org/obo/UPHENO_0085300
http://purl.obolibrary.org/obo/CL_0000232	http://purl.obolibrary.org/obo/UPHENO_0085301
http://purl.obolibrary.org/obo/CL_0000233	http://purl.obolibrary.org/obo/UPHENO_0085302
http://purl.obolibrary.org/obo/CL_0000476	http://purl.obolibrary.org/obo/UPHENO_0085303
http://purl.obolibrary.org/obo/CL_0000235	http://purl.obolibrary.org/obo/UPHENO_0085304
http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UPHENO_0085305
http://purl.obolibrary.org/obo/CL_0002092	http://purl.obolibrary.org/obo/UPHENO_0085306
http://purl.obolibrary.org/obo/UBERON_0005203	http://purl.obolibrary.org/obo/UPHENO_0063883
http://purl.obolibrary.org/obo/CL_0000916	http://purl.obolibrary.org/obo/UPHENO_0085307
http://purl.obolibrary.org/obo/CL_0002418	http://purl.obolibrary.org/obo/UPHENO_0085308
http://purl.obolibrary.org/obo/CL_0000912	http://purl.obolibrary.org/obo/UPHENO_0085309
http://purl.obolibrary.org/obo/CL_0000913	http://purl.obolibrary.org/obo/UPHENO_0085310
http://purl.obolibrary.org/obo/CL_0000164	http://purl.obolibrary.org/obo/UPHENO_0085311
http://purl.obolibrary.org/obo/CL_0000287	http://purl.obolibrary.org/obo/UPHENO_0085312
http://purl.obolibrary.org/obo/CL_0002343	http://purl.obolibrary.org/obo/UPHENO_0085313
http://purl.obolibrary.org/obo/CL_0000960	http://purl.obolibrary.org/obo/UPHENO_0085314
http://purl.obolibrary.org/obo/CL_0000169	http://purl.obolibrary.org/obo/UPHENO_0085315
http://purl.obolibrary.org/obo/CL_0000049	http://purl.obolibrary.org/obo/UPHENO_0085316
http://purl.obolibrary.org/obo/UBERON_0000423	http://purl.obolibrary.org/obo/UPHENO_0063708
http://purl.obolibrary.org/obo/UBERON_0005313	http://purl.obolibrary.org/obo/UPHENO_0081385
http://purl.obolibrary.org/obo/CL_0000609	http://purl.obolibrary.org/obo/UPHENO_0085317
http://purl.obolibrary.org/obo/CL_0000601	http://purl.obolibrary.org/obo/UPHENO_0085318
http://purl.obolibrary.org/obo/CL_0000843	http://purl.obolibrary.org/obo/UPHENO_0085319
http://purl.obolibrary.org/obo/CL_0000844	http://purl.obolibrary.org/obo/UPHENO_0085320
http://purl.obolibrary.org/obo/CL_0000845	http://purl.obolibrary.org/obo/UPHENO_0085321
http://purl.obolibrary.org/obo/CL_0000604	http://purl.obolibrary.org/obo/UPHENO_0085322
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0063722
http://purl.obolibrary.org/obo/UBERON_0002030	http://purl.obolibrary.org/obo/UPHENO_0063725
http://purl.obolibrary.org/obo/UBERON_0004451	http://purl.obolibrary.org/obo/UPHENO_0063723
