defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/UPHENO_0002204	abnormal N-glycan composition	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002132	glycan residue	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002165	abnormal N-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002012	abnormal N-linked glycoprotein occupancy	http://purl.obolibrary.org/obo/CHEBI_17089		http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002205	abnormal O-glycan composition	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002132	glycan residue	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002206	abnormal O-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002013	abnormal O-linked glycoprotein occupancy	http://purl.obolibrary.org/obo/CHEBI_17089		http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002011	abnormal glycan composition	http://purl.obolibrary.org/obo/CHEBItemp_0002131	glycan	http://purl.obolibrary.org/obo/CHEBItemp_0002132	glycan residue	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002003	abnormal glycan occupancy	http://purl.obolibrary.org/obo/CHEBItemp_0002148	glyco-conjugate	http://purl.obolibrary.org/obo/CHEBItemp_0002164	glycan group	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/UPHENO_0002167	decreased N-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/UPHENO_0002207	decreased O-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/UPHENO_0002166	increased N-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002002	has extra parts of type
http://purl.obolibrary.org/obo/UPHENO_0002208	increased O-glycan fucosylation	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain	http://purl.obolibrary.org/obo/CHEBItemp_0002133	fucose residue	http://purl.obolibrary.org/obo/PATO_0002002	has extra parts of type
