defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/WBPhenotype_0000964	DMPP resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_4290	1,1-dimethyl-4-phenylpiperazinium iodide	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0001649	Fluorouracil resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_46345	5-fluorouracil	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0002048	abamectin resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_39214	abamectin	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0002050	abamectin sensitive	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_39214	abamectin	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000500	acetylcholinesterase inhibitor hypersensitive	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_38462	EC 3.1.1.7 (acetylcholinesterase) inhibitor	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0001289	acetylcholinesterase inhibitor resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_38462	EC 3.1.1.7 (acetylcholinesterase) inhibitor	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000016	aldicarb hypersensitive	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_2555	aldicarb	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000017	aldicarb resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_2555	aldicarb	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000214	alpha amanitin hypersensitive	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_37415	alpha-amanitin	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000089	alpha amanitin resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_37415	alpha-amanitin	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000008	anesthetic hypersensitive	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_38867	anaesthetic	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0000009	anesthetic resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_38867	anaesthetic	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0001615	anticonvulsant resistant	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_35623	anticonvulsant	http://purl.obolibrary.org/obo/PATO_0001650	increased resistance to
http://purl.obolibrary.org/obo/WBPhenotype_0002220	antimonite hypersensitivity	http://purl.obolibrary.org/obo/CARO_0010004		http://purl.obolibrary.org/obo/CHEBI_30297	antimonite	http://purl.obolibrary.org/obo/PATO_0001651	decreased resistance to
