defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/ZP_0009139	1-phosphatidylinositol-4-phosphate 5-kinase activity decreased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence
http://purl.obolibrary.org/obo/ZP_0010229	3'-UTR-mediated mRNA stabilization decreased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0070935	3'-UTR-mediated mRNA stabilization	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence
http://purl.obolibrary.org/obo/ZP_0137420	3,4-dihydroxyphenanthrene dioxygenase activity disrupted, abnormal	http://purl.obolibrary.org/obo/GO_0018568	3,4-dihydroxyphenanthrene dioxygenase activity	http://purl.obolibrary.org/obo/PATO_0001507	disrupted
http://purl.obolibrary.org/obo/ZP_0021742	5'-nucleotidase activity increased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0008253	5'-nucleotidase activity	http://purl.obolibrary.org/obo/PATO_0002304	increased process quality
http://purl.obolibrary.org/obo/ZP_0013014	5S class rRNA transcription by RNA polymerase III occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0042791	5S class rRNA transcription by RNA polymerase III	http://purl.obolibrary.org/obo/PATO_0000057	occurrence
http://purl.obolibrary.org/obo/ZP_0021942	AMP-activated protein kinase activity increased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0004679	AMP-activated protein kinase activity	http://purl.obolibrary.org/obo/PATO_0002304	increased process quality
http://purl.obolibrary.org/obo/ZP_0017740	ATP biosynthetic process decreased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0006754	ATP biosynthetic process	http://purl.obolibrary.org/obo/PATO_0002302	decreased process quality
http://purl.obolibrary.org/obo/ZP_0011666	ATP biosynthetic process disrupted, abnormal	http://purl.obolibrary.org/obo/GO_0006754	ATP biosynthetic process	http://purl.obolibrary.org/obo/PATO_0001507	disrupted
http://purl.obolibrary.org/obo/ZP_0107121	ATP metabolic process increased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0046034	ATP metabolic process	http://purl.obolibrary.org/obo/PATO_0002304	increased process quality
http://purl.obolibrary.org/obo/ZP_0101038	ATP metabolic process process quality, abnormal	http://purl.obolibrary.org/obo/GO_0046034	ATP metabolic process	http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/ZP_0137352	ATPase activity decreased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0016887	ATPase activity	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence
http://purl.obolibrary.org/obo/ZP_0137354	ATPase activity increased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0016887	ATPase activity	http://purl.obolibrary.org/obo/PATO_0002051	increased occurrence
http://purl.obolibrary.org/obo/ZP_0102157	B cell activation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0042113	B cell activation	http://purl.obolibrary.org/obo/PATO_0000297	arrested
http://purl.obolibrary.org/obo/ZP_0107024	B cell activation involved in immune response decreased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0002312	B cell activation involved in immune response	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence
http://purl.obolibrary.org/obo/ZP_0015230	B cell differentiation arrested, abnormal	http://purl.obolibrary.org/obo/GO_0030183	B cell differentiation	http://purl.obolibrary.org/obo/PATO_0000297	arrested
http://purl.obolibrary.org/obo/ZP_0021531	B cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009142	B cell	http://purl.obolibrary.org/obo/PATO_0000470	increased amount
http://purl.obolibrary.org/obo/ZP_0103433	B cell normal amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009142	B cell	http://purl.obolibrary.org/obo/PATO_0002050	normal amount
http://purl.obolibrary.org/obo/ZP_0101214	BMP signaling pathway decreased occurrence, abnormal	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence
http://purl.obolibrary.org/obo/ZP_0014763	BMP signaling pathway decreased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0002302	decreased process quality
http://purl.obolibrary.org/obo/ZP_0004075	BMP signaling pathway disrupted, abnormal	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0001507	disrupted
http://purl.obolibrary.org/obo/ZP_0012722	BMP signaling pathway increased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0002304	increased process quality
http://purl.obolibrary.org/obo/ZP_0014525	BMP signaling pathway involved in heart development decreased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0061312	BMP signaling pathway involved in heart development	http://purl.obolibrary.org/obo/PATO_0002302	decreased process quality
http://purl.obolibrary.org/obo/ZP_0016529	BMP signaling pathway involved in heart jogging decreased process quality, abnormal	http://purl.obolibrary.org/obo/GO_0003303	BMP signaling pathway involved in heart jogging	http://purl.obolibrary.org/obo/PATO_0002302	decreased process quality
http://purl.obolibrary.org/obo/ZP_0001320	BMP signaling pathway involved in mesodermal cell fate specification process quality, abnormal	http://purl.obolibrary.org/obo/GO_0060803	BMP signaling pathway involved in mesodermal cell fate specification	http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/ZP_0007397	BMP signaling pathway process quality, abnormal	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/ZP_0006349	Bruch's membrane aplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005562	Bruch's membrane	http://purl.obolibrary.org/obo/PATO_0001483	aplastic
http://purl.obolibrary.org/obo/ZP_0002113	CNS interneuron decreased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009191	CNS interneuron	http://purl.obolibrary.org/obo/PATO_0001997	decreased amount
http://purl.obolibrary.org/obo/ZP_0002356	CNS neuron (sensu Vertebrata) decreased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009067	CNS neuron (sensu Vertebrata)	http://purl.obolibrary.org/obo/PATO_0001997	decreased amount
http://purl.obolibrary.org/obo/ZP_0003466	CNS neuron (sensu Vertebrata) mislocalised, abnormal	http://purl.obolibrary.org/obo/ZFA_0009067	CNS neuron (sensu Vertebrata)	http://purl.obolibrary.org/obo/PATO_0000628	mislocalised
http://purl.obolibrary.org/obo/ZP_0015957	CNS neuron (sensu Vertebrata) normal amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009067	CNS neuron (sensu Vertebrata)	http://purl.obolibrary.org/obo/PATO_0002050	normal amount
http://purl.obolibrary.org/obo/ZP_0014160	CaP motoneuron amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/ZP_0009228	CaP motoneuron branchiness, abnormal	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0002009	branchiness
