defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/HP_0003270	Abdominal distention	http://purl.obolibrary.org/obo/UBERON_0000916		http://purl.obolibrary.org/obo/PATO_0001602	
http://purl.obolibrary.org/obo/HP_0010866	Abdominal wall defect	http://purl.obolibrary.org/obo/UBERON_0003697		http://purl.obolibrary.org/obo/PATO_0000609	
http://purl.obolibrary.org/obo/HP_0011224	Ablepharon	http://purl.obolibrary.org/obo/UBERON_0001711		http://purl.obolibrary.org/obo/PATO_0001483	
http://purl.obolibrary.org/obo/HP_0010975	Abnormal B cell count	http://purl.obolibrary.org/obo/CL_0000236		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0011839	Abnormal T cell count	http://purl.obolibrary.org/obo/CL_0000084		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0025323	Abnormal arterial physiology	http://purl.obolibrary.org/obo/UBERON_0001637		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0012332	Abnormal autonomic nervous system physiology	http://purl.obolibrary.org/obo/UBERON_0002410		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0031806	Abnormal basophil count	http://purl.obolibrary.org/obo/CL_0000767		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0012439	Abnormal biliary tract physiology	http://purl.obolibrary.org/obo/UBERON_0001173		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0001892	Abnormal bleeding	http://purl.obolibrary.org/obo/MPATH_119		http://purl.obolibrary.org/obo/PATO_0000470	
http://purl.obolibrary.org/obo/HP_0003330	Abnormal bone structure	http://purl.obolibrary.org/obo/UBERON_0001474		http://purl.obolibrary.org/obo/PATO_0000141	
http://purl.obolibrary.org/obo/HP_0025018	Abnormal capillary physiology	http://purl.obolibrary.org/obo/UBERON_0001982		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0011025	Abnormal cardiovascular system physiology	http://purl.obolibrary.org/obo/UBERON_0004535		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0011017	Abnormal cellular physiology	http://purl.obolibrary.org/obo/GO_0005623		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0410359	Abnormal core 1 O-glycan level	http://purl.obolibrary.org/obo/CHEBI_546807		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0010647	Abnormal elasticity of skin	http://purl.obolibrary.org/obo/UBERON_0002097		http://purl.obolibrary.org/obo/PATO_0001031	
http://purl.obolibrary.org/obo/HP_0012373	Abnormal eye physiology	http://purl.obolibrary.org/obo/UBERON_0000019		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0030896	Abnormal gastrointestinal transit time	http://purl.obolibrary.org/obo/GO_0120054		http://purl.obolibrary.org/obo/PATO_0001309	
http://purl.obolibrary.org/obo/HP_0010720	Abnormal hair pattern	http://purl.obolibrary.org/obo/UBERON_0001037		http://purl.obolibrary.org/obo/PATO_0000060	
http://purl.obolibrary.org/obo/HP_0011362	Abnormal hair quantity	http://purl.obolibrary.org/obo/UBERON_0001037		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0012285	Abnormal hypothalamus physiology	http://purl.obolibrary.org/obo/UBERON_0001898		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0040157	Abnormal intermamillary distance	http://purl.obolibrary.org/obo/UBERON_0013771		http://purl.obolibrary.org/obo/PATO_0000122	
http://purl.obolibrary.org/obo/HP_0200011	Abnormal length of corpus callosum	http://purl.obolibrary.org/obo/UBERON_0002336		http://purl.obolibrary.org/obo/PATO_0000122	
http://purl.obolibrary.org/obo/HP_0011893	Abnormal leukocyte count	http://purl.obolibrary.org/obo/CL_0000738		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0030886	Abnormal lymphocyte apoptosis	http://purl.obolibrary.org/obo/GO_0070227		http://purl.obolibrary.org/obo/PATO_0000161	
http://purl.obolibrary.org/obo/HP_0040088	Abnormal lymphocyte count	http://purl.obolibrary.org/obo/CL_0000542		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0030326	Abnormal macrophage count	http://purl.obolibrary.org/obo/CL_0000235		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0012087	Abnormal mitochondrial shape	http://purl.obolibrary.org/obo/GO_0005739		http://purl.obolibrary.org/obo/PATO_0000052	
http://purl.obolibrary.org/obo/HP_0012310	Abnormal monocyte count	http://purl.obolibrary.org/obo/CL_0000576		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0003808	Abnormal muscle tone	http://purl.obolibrary.org/obo/UBERON_0001630		http://purl.obolibrary.org/obo/PATO_0001439	
http://purl.obolibrary.org/obo/HP_0040089	Abnormal natural killer cell count	http://purl.obolibrary.org/obo/CL_0000623		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0012177	Abnormal natural killer cell physiology	http://purl.obolibrary.org/obo/CL_0000623		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0011991	Abnormal neutrophil count	http://purl.obolibrary.org/obo/CL_0000775		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0012131	Abnormal number of erythroid precursors	http://purl.obolibrary.org/obo/CL_0000038		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0010813	Abnormal number of hair whorls	http://purl.obolibrary.org/obo/UBERON_0014381		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0011064	Abnormal number of incisors	http://purl.obolibrary.org/obo/UBERON_0001098		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0011044	Abnormal number of permanent teeth	http://purl.obolibrary.org/obo/UBERON_0007774		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0006483	Abnormal number of teeth	http://purl.obolibrary.org/obo/UBERON_0001091		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0032040	Abnormal ocular adnexa physiology	http://purl.obolibrary.org/obo/UBERON_0035639		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0031066	Abnormal ovarian physiology	http://purl.obolibrary.org/obo/UBERON_0000992		http://purl.obolibrary.org/obo/PATO_0001509	
http://purl.obolibrary.org/obo/HP_0032120	Abnormal peripheral nervous system physiology	http://purl.obolibrary.org/obo/UBERON_0000010		http://purl.obolibrary.org/obo/PATO_0001509	
