defined_class	defined_class_label	affected_entity_1_sub	affected_entity_1_sub_label	affected_entity_1_super	affected_entity_1_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/HP_0009023	Abdominal wall muscle weakness	http://purl.obolibrary.org/obo/UBERON_0001015		http://purl.obolibrary.org/obo/UBERON_0003697		http://purl.obolibrary.org/obo/PATO_0001779	
http://purl.obolibrary.org/obo/HP_0008181	Abetalipoproteinemia	http://purl.obolibrary.org/obo/CHEBI_39026		http://purl.obolibrary.org/obo/UBERON_0000178		http://purl.obolibrary.org/obo/PATO_0000462	
http://purl.obolibrary.org/obo/HP_0500232	Abnormal CSF alanine concentration	http://purl.obolibrary.org/obo/CHEBI_16449		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500238	Abnormal CSF albumin concentration	http://purl.obolibrary.org/obo/PR_000003918		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500247	Abnormal CSF alpha-aminobutyrate concentration	http://purl.obolibrary.org/obo/CHEBI_86508		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500184	Abnormal CSF amino acid concentration	http://purl.obolibrary.org/obo/CHEBI_33709		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500202	Abnormal CSF arginine concentration	http://purl.obolibrary.org/obo/CHEBI_29016		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500214	Abnormal CSF aromatic amino acid concentration	http://purl.obolibrary.org/obo/CHEBI_33856		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500205	Abnormal CSF aspartate family amino acid concentration	http://purl.obolibrary.org/obo/CHEBI_22658		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500185	Abnormal CSF branched chain amino acid concentration	http://purl.obolibrary.org/obo/CHEBI_22918		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500183	Abnormal CSF carboxylic acid concentration	http://purl.obolibrary.org/obo/CHEBI_33575		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500240	Abnormal CSF carnosine concentration	http://purl.obolibrary.org/obo/CHEBI_15727		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500245	Abnormal CSF citrulline concentration	http://purl.obolibrary.org/obo/CHEBI_18211		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500199	Abnormal CSF glutamate concentration	http://purl.obolibrary.org/obo/CHEBI_18237		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500196	Abnormal CSF glutamine concentration	http://purl.obolibrary.org/obo/CHEBI_28300		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500195	Abnormal CSF glutamine family amino acid concentration	http://purl.obolibrary.org/obo/CHEBI_24318		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500229	Abnormal CSF glycine concentration	http://purl.obolibrary.org/obo/CHEBI_15428		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500235	Abnormal CSF histidine concentration	http://purl.obolibrary.org/obo/CHEBI_27570		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
http://purl.obolibrary.org/obo/HP_0500241	Abnormal CSF homocarnosine concentration	http://purl.obolibrary.org/obo/CHEBI_28050		http://purl.obolibrary.org/obo/UBERON_0001359		http://purl.obolibrary.org/obo/PATO_0000070	
